Position,NDCG
1,-0.3190109947741912
2,-0.3198602878171473
3,-0.32025295071687043
4,-0.32057260875608995
5,-0.32098947301723363
6,-0.3213602960153216
7,-0.3216552408559117
8,-0.3219016076181128
9,-0.32210361957277145
10,-0.3222727632138284
11,-0.3224340925247719
12,-0.3225944890371368
13,-0.32274192966099924
14,-0.3228747861651939
15,-0.3229944812482785
16,-0.323129747277869
17,-0.32325986747400076
18,-0.3233796230306315
19,-0.32348936991497357
20,-0.3235927975579878
21,-0.3236884991504589
22,-0.32378164949233323
23,-0.32386953956131115
24,-0.3239526255612353
25,-0.3240311159750593
26,-0.32410507840015074
27,-0.324177389120377
28,-0.3242460407221342
29,-0.32431376629602693
30,-0.32437869386151147
31,-0.32444144033510475
32,-0.3245019730702424
33,-0.32456182279185675
34,-0.3246190648844663
35,-0.3246741690944412
36,-0.324729376668099
37,-0.32478224693456603
38,-0.3248342335407642
39,-0.3248846669384734
40,-0.3249330867571054
41,-0.32497984314949663
42,-0.3250262204508927
43,-0.32507100727522537
44,-0.3251146146346967
45,-0.32515694523591493
46,-0.3252000336757747
47,-0.3252420667179655
48,-0.3252830853852354
49,-0.3253228516729612
50,-0.3253614976001056
51,-0.3253993978203273
52,-0.32543612588461873
53,-0.3254717412010159
54,-0.3255067813567192
55,-0.32554090159853455
56,-0.32557435162198645
57,-0.3256069289583748
58,-0.32563860068339173
59,-0.325669924741839
60,-0.32570044642283436
61,-0.32573068986980314
62,-0.32576023332617515
63,-0.3257890458739089
64,-0.3258175840229264
65,-0.3258458276010418
66,-0.3258735403962557
67,-0.32590069711269176
68,-0.32592721165612315
69,-0.3259531903632281
70,-0.32597860098233084
71,-0.32600346695076665
72,-0.32602814724312407
73,-0.3260523662277313
74,-0.32607664227016264
75,-0.3261005960600552
76,-0.3261242124635189
77,-0.3261474742325512
78,-0.3261702675132748
79,-0.32619267075139874
80,-0.3262152016199519
81,-0.3262374056619355
82,-0.3262591945420015
83,-0.3262807324029727
84,-0.326302418627968
85,-0.32632397441658945
86,-0.32634586420074063
87,-0.3263679898976576
88,-0.3263898137513315
89,-0.3264114300198373
90,-0.32643270615924175
91,-0.3264536712541924
92,-0.3264743325490178
93,-0.32649480654248286
94,-0.3265151260415816
95,-0.3265351990059213
96,-0.3265551220270025
97,-0.32657548365811806
98,-0.3265955751921312
99,-0.32661549360635644
100,-0.3266351147192827
101,-0.32665503511852395
102,-0.3266747061705384
103,-0.3266940660363038
104,-0.32671312442459244
105,-0.326732062509685
106,-0.32675075832156364
107,-0.3267693154844668
108,-0.3267876683892468
109,-0.32680582966961197
110,-0.3268238505410007
111,-0.32684164702049195
112,-0.3268593590742361
113,-0.32687681540237035
114,-0.3268941964895335
115,-0.3269113602575076
116,-0.3269282826203089
117,-0.32694513126349345
118,-0.3269618561246849
119,-0.32697841142569556
120,-0.32699503663945617
121,-0.3270114708068463
122,-0.32702774320326894
123,-0.3270441093746864
124,-0.32706025913138087
125,-0.3270761984576999
126,-0.3270922604936073
127,-0.3271081545826633
128,-0.32712392600844453
129,-0.32713951289716137
130,-0.3271549128970288
131,-0.32717015803473365
132,-0.32718529308510536
133,-0.3272002526246823
134,-0.32721513935805924
135,-0.3272299717324387
136,-0.3272447475766296
137,-0.3272594554595722
138,-0.32727411709871346
139,-0.3272886154319491
140,-0.32730295112861163
141,-0.3273171721255252
142,-0.3273313309326751
143,-0.3273455297542159
144,-0.32735972685271625
145,-0.3273737681025172
146,-0.3273877092999893
147,-0.32740149708447414
148,-0.3274151494979598
149,-0.3274286885296535
150,-0.3274420839885821
151,-0.3274553532409849
152,-0.3274685109051312
153,-0.32748156346333834
154,-0.32749467423577266
155,-0.32750791244395355
156,-0.32752101153161123
157,-0.3275342014254805
158,-0.3275472637783936
159,-0.32756020723142515
160,-0.32757308670529217
161,-0.32758584767169896
162,-0.32759848584453105
163,-0.3276110390093853
164,-0.3276236303178739
165,-0.32763622158109246
166,-0.3276488186325104
167,-0.3276613010704789
168,-0.3276736991671731
169,-0.3276859747736774
170,-0.32769819217589924
171,-0.3277103259812868
172,-0.32772234601620603
173,-0.32773439532426635
174,-0.32774640619261197
175,-0.3277583236013271
176,-0.32777019607472213
177,-0.3277821171871819
178,-0.32779398362307816
179,-0.3278057941687969
180,-0.3278175832656162
181,-0.32782926647436056
182,-0.32784087911687076
183,-0.3278524455163105
184,-0.32786392264897735
185,-0.32787550027249573
186,-0.32788698497250346
187,-0.3278984914383203
188,-0.32790998250472153
189,-0.32792143477903485
190,-0.3279328280292835
191,-0.32794417976885837
192,-0.3279554846342962
193,-0.32796676031155875
194,-0.32797795412474506
195,-0.3279890929496332
196,-0.3280001367668004
197,-0.3280110996009802
198,-0.3280220692710684
199,-0.328033077751113
200,-0.3280440046780082
201,-0.32805484901122794
202,-0.3280656646570876
203,-0.3280765444899542
204,-0.32808740045631324
205,-0.32809817175084427
206,-0.32810887862754345
207,-0.3281195073311558
208,-0.32813007057789123
209,-0.3281406620992874
210,-0.3281512098261211
211,-0.3281616853303258
212,-0.32817210189176876
213,-0.3281824417504473
214,-0.32819271973334274
215,-0.3282029659081628
216,-0.3282131984224683
217,-0.3282235524491044
218,-0.32823382641791016
219,-0.3282440495201727
220,-0.3282542174939388
221,-0.32826433976051056
222,-0.3282744284695411
223,-0.32828445044850485
224,-0.3282943976970797
225,-0.32830427200173856
226,-0.3283140924717476
227,-0.32832389356402675
228,-0.32833364196617115
229,-0.328343330901352
230,-0.32835297778857336
231,-0.3283626111039841
232,-0.328372200535719
233,-0.3283817399587235
234,-0.32839125475009634
235,-0.328400732922397
236,-0.32841017243743914
237,-0.32841955955857827
238,-0.32842891126895885
239,-0.3284382544754287
240,-0.3284475365166005
241,-0.3284568168173658
242,-0.3284660369002419
243,-0.32847529941520204
244,-0.328484537176724
245,-0.32849374204143167
246,-0.3285029187949585
247,-0.32851221801747504
248,-0.32852146713169844
249,-0.3285307127118296
250,-0.32853990384584236
251,-0.3285490708380713
252,-0.32855819264834163
253,-0.3285672600094117
254,-0.328576361275543
255,-0.3285854041460168
256,-0.3285944011070494
257,-0.32860341146894945
258,-0.3286123999431969
259,-0.3286213349191836
260,-0.3286302518223812
261,-0.32863913051644283
262,-0.3286480150661146
