Position,NDCG
1,2.113549832786168
2,2.1134221865782865
3,2.11239373185821
4,2.1090648057377983
5,2.1069036088693713
6,2.105147641751832
7,2.103624300374422
8,2.09992148635141
9,2.096748694563195
10,2.0938181691195275
11,2.0910303835610375
12,2.088525447634081
13,2.086130722875527
14,2.0825040169641786
15,2.0790977845491607
16,2.0759461170672306
17,2.0730734584817263
18,2.0701694345451362
19,2.0673654231524856
20,2.064583447703494
21,2.0619985576229016
22,2.0595169237547806
23,2.05668220413359
24,2.053952922442252
25,2.051355751237603
26,2.0488773692467896
27,2.0465410282636136
28,2.0443258358312635
29,2.042232992800765
30,2.0402245009164672
31,2.0383158875363327
32,2.036400754534295
33,2.0345382337527296
34,2.032730173476496
35,2.0309784620577767
36,2.029201791136735
37,2.027459111601512
38,2.0257608460629415
39,2.024112989265976
40,2.0224715012994743
41,2.0208844195476607
42,2.01933382815188
43,2.017824168848885
44,2.016322060162954
45,2.0148531504975318
46,2.0134031981619054
47,2.0119975790695093
48,2.010639074092534
49,2.0093116657998675
50,2.007946229166989
51,2.006618382896993
52,2.00528882106633
53,2.0039934922316682
54,2.002713415230607
55,2.001438602221858
56,2.0001961580413257
57,1.9989683964614684
58,1.9977624011721593
59,1.9965797983377105
60,1.9954133152440738
61,1.9942206097749027
62,1.9930426415786346
63,1.9918892714040182
64,1.990761431799412
65,1.9896396260723732
66,1.9885317372354572
67,1.987432067757899
68,1.986311279878325
69,1.9851903932048993
70,1.9840793111190498
71,1.9829798033534067
72,1.9818946937959334
73,1.980822548097816
74,1.9797691862638624
75,1.9787317120469106
76,1.9777061890606373
77,1.976700602965422
78,1.9757104522041176
79,1.9747279488004048
80,1.973737148621062
81,1.9727619056474135
82,1.9718040779299715
83,1.9708648429763893
84,1.9699352871421252
85,1.9690146213107595
86,1.968104567377862
87,1.9672064850884046
88,1.966321997017204
89,1.9654449468361819
90,1.9645836958317395
91,1.9637310196204532
92,1.9628925318788966
93,1.9620531784708677
94,1.9612223353258358
95,1.9603952510856866
96,1.9595681432363865
97,1.9587461638205714
98,1.957932911594618
99,1.9571312003220906
100,1.9563408651270067
101,1.955557954791435
102,1.9547857861425337
103,1.954025845817426
104,1.95327404179378
105,1.9525302016445147
106,1.9517857103542122
107,1.9510097529571704
108,1.9502443240915228
109,1.949485758833803
110,1.948736562197738
111,1.9479956661422733
112,1.9472620960338471
113,1.946533250798312
114,1.9458140527234653
115,1.9451022552327213
116,1.944398290756112
117,1.9436979448951426
118,1.9430073232580287
119,1.9423204006743398
120,1.941641193473954
121,1.940968665118071
122,1.940300361890759
123,1.9396309290337048
124,1.9389605249251682
125,1.9382970088979552
126,1.9376421207755647
127,1.9369860250905688
128,1.9363374061724046
129,1.9356924796226722
130,1.935038810185233
131,1.9343892606011246
132,1.933743973082497
133,1.9331019882530003
134,1.9324654862435782
135,1.9318295066000353
136,1.9311745703593555
137,1.9305202028057653
138,1.9298723230375356
139,1.9292303789932148
140,1.9285872047775208
141,1.927949723121517
142,1.9273161251833593
143,1.9266883355124262
144,1.9260654763453386
145,1.9254429487107607
146,1.924820019052516
147,1.9242027911431954
148,1.923589888408749
149,1.9229837775607252
150,1.9223812998556093
151,1.9217779382026219
152,1.9211795179969542
153,1.9205869345925435
154,1.9199985499336565
155,1.9194163059314886
156,1.9188314911890951
157,1.9182518351553846
158,1.9176768749189843
159,1.9171076571875671
160,1.9165423345316908
161,1.9159814667028672
162,1.9154231262327415
163,1.9148697832124697
164,1.914321351276427
165,1.9137782029582344
166,1.9132353391090973
167,1.9126976866029775
168,1.9121645270261791
169,1.9116340012734367
170,1.9111038229286201
171,1.9105749504589855
172,1.9100510794231191
173,1.909529616734911
174,1.9090120951581395
175,1.9084909627081013
176,1.9079742639121577
177,1.907460626578583
178,1.9069474712481198
179,1.906434781522764
180,1.9059181439969732
181,1.905404122268934
182,1.904894285845306
183,1.904387542445216
184,1.9038849864292493
185,1.903385454251282
186,1.9028888994340587
187,1.9023945408017957
188,1.901903258120377
189,1.9014161128438967
190,1.9009297443978639
191,1.9004457359342242
192,1.89996400167097
193,1.8994804725733558
194,1.899000084267061
195,1.8985215292539006
196,1.898045692969875
197,1.8975710727177102
198,1.8971002215442305
199,1.8966292815751595
200,1.8961621835055062
201,1.8956984257581064
202,1.8952368790693626
203,1.8947732703306401
204,1.8943131630371368
205,1.8938565175415147
206,1.893402811566391
207,1.892952217913345
208,1.8925040223613898
209,1.892056879448291
210,1.8916117541766384
211,1.8911693821530207
212,1.8907304732258765
213,1.8902950279209756
214,1.8898626383002628
215,1.8894315347788555
216,1.8890033635913148
217,1.8885764273094818
218,1.888151226666922
219,1.8877286175586807
220,1.8873084412583685
221,1.8868891094549767
222,1.88647267167682
223,1.8860509703477448
224,1.8856315715735787
225,1.8852120913187749
226,1.8847852408650188
227,1.8843591956839445
228,1.8839353072575193
229,1.8835145398929827
230,1.8830959702834884
231,1.8826795155975007
232,1.8822655056426496
233,1.8818503412754422
234,1.8814368825066148
235,1.8810225665941303
236,1.8806097666830446
237,1.8801937654631091
238,1.8797802600188185
239,1.8793695788557518
240,1.8789607265723998
241,1.8785546251973189
242,1.8781506782417192
243,1.8777484133506526
244,1.8773473526976887
245,1.876947995774532
246,1.8765502900806499
247,1.8761537230068244
248,1.8757595972290584
249,1.8753662047706985
250,1.8749751575065465
251,1.8745865893386289
252,1.8742005979467418
253,1.873814769110844
254,1.8734292393602967
255,1.8730455172927944
256,1.8726623648082648
257,1.8722773683668426
258,1.871892836316689
259,1.8715074339583457
260,1.8711243645139162
261,1.870742645872176
262,1.870361862636673
263,1.8699826694866564
264,1.8696050543211988
265,1.8692288134138275
266,1.8688520291771054
267,1.8684774486831328
268,1.8681043667237935
269,1.8677286451037423
270,1.8673522928925785
271,1.8669775131485642
272,1.8666045077072064
273,1.8662336073040247
274,1.8658628907098564
275,1.8654939927946594
276,1.8651264112380224
277,1.8647604368776436
278,1.8643959247368818
279,1.8640331753623245
280,1.8636721807434389
281,1.8633132561695
282,1.8629563905715085
283,1.8625999562527942
284,1.8622455210466458
285,1.8618925665692632
286,1.86153802145981
287,1.861184704238697
288,1.8608323112346272
289,1.8604791820787796
290,1.860121731064942
291,1.85976415267838
292,1.8594052797460476
293,1.859046406541171
294,1.8586889978187975
295,1.858331612301739
296,1.8579759565473215
297,1.8576205476728864
298,1.8572666625523213
299,1.856914572153865
300,1.856564157397479
301,1.8562155691826872
302,1.855868474747088
303,1.8555228265741945
304,1.8551782945810644
305,1.8548356487658277
306,1.8544940885089929
307,1.8541543944763454
308,1.8538160390423892
309,1.8534790149072276
310,1.8531433954906362
311,1.8528058585723735
312,1.8524684067866068
313,1.852132536026612
314,1.8517974624938867
315,1.8514625541812357
316,1.8511281231890824
317,1.8507948942186183
318,1.8504624219569423
319,1.8501308533765561
320,1.8497999089219146
321,1.8494707069188852
322,1.8491432443581444
323,1.848816818220987
324,1.8484904814583676
325,1.8481658039953355
326,1.8478427253966165
327,1.8475210244335198
328,1.8471953053438805
329,1.8468704463591088
330,1.8465464825230382
331,1.8462235171989683
332,1.8459020522572362
333,1.8455819936081272
334,1.8452628350946747
335,1.844944026417449
336,1.8446266837779244
337,1.8443098179662742
338,1.843993891105736
339,1.8436789094806263
340,1.8433638812905715
341,1.8430500265154914
342,1.8427369609476285
343,1.84242525934194
344,1.8421141650421757
345,1.841803714751389
346,1.8414938591930696
347,1.8411841544353784
348,1.8408754463716197
349,1.840567893236413
350,1.8402615282883343
351,1.839956137246177
352,1.8396517196934525
353,1.839348377562088
354,1.8390462726910872
355,1.8387449153492919
356,1.8384445462406145
357,1.8381451879360744
358,1.837845430222644
359,1.8375468849276255
360,1.837248766198909
361,1.8369509402529296
362,1.8366539646817646
363,1.8363583609737664
364,1.8360641441782386
365,1.8357704684092817
366,1.835477685916333
367,1.8351861438313928
368,1.834895659099068
369,1.8346055680412472
370,1.8343159556148878
371,1.8340268269850182
372,1.8337379547800932
373,1.8334503184849118
374,1.8331615283202594
375,1.832870580526031
376,1.8325804914534944
377,1.8322915794337067
378,1.8320031574760534
379,1.8317154237498867
380,1.8314287170012742
381,1.8311416758166976
382,1.830855726321215
383,1.8305697236683238
384,1.8302845596059285
385,1.8300006737120658
386,1.8297177643067333
387,1.8294341592394887
388,1.829151743616366
389,1.828870398103411
390,1.8285886475041195
391,1.8283073346969718
392,1.8280271175744451
393,1.8277476235512324
394,1.827467949776417
395,1.827188436742831
396,1.8269100695393778
397,1.826632481580007
398,1.8263555758017154
399,1.8260795453956236
400,1.8258046926181044
401,1.8255307536881185
402,1.8252573847602596
403,1.8249850707409785
404,1.8247125019743755
405,1.824440110172187
406,1.8241685567519332
407,1.8238979466968828
408,1.823627711131625
409,1.8233580247532508
410,1.823089211675935
411,1.8228210278712458
412,1.8225537610312115
413,1.8222855200192272
414,1.822017331754594
415,1.8217497078819604
416,1.8214814309946203
417,1.8212139669869793
418,1.8209451724929284
419,1.820677386265281
420,1.8204106834040858
421,1.820141581944806
422,1.8198732958310653
423,1.8196056159501826
424,1.8193387262959964
425,1.8190719917922116
426,1.8188057173875485
427,1.8185398213078285
428,1.8182744609457517
429,1.818009415156535
430,1.8177453562592731
431,1.81748219153688
432,1.8172198515983553
433,1.8169575674321958
434,1.816696261484354
435,1.8164345246503466
436,1.8161728577838612
437,1.8159121373420903
438,1.8156524387274406
439,1.815393581889812
440,1.8151331482542914
441,1.8148711301297598
442,1.8146099868150076
443,1.8143492701437391
444,1.814089378566494
445,1.8138302380966607
446,1.8135717302052228
447,1.8133140851080287
448,1.8130570342252628
449,1.8128006401822525
450,1.812545024490082
451,1.8122899314051415
452,1.8120352895226375
453,1.8117800825187609
454,1.8115256001742581
455,1.811271830580963
456,1.8110186277544995
457,1.810764074813708
458,1.8105103691437388
459,1.8102567638615947
460,1.8100041150363544
461,1.8097519167181013
462,1.809500635571217
463,1.8092500172249022
464,1.808999343292693
465,1.8087477101883258
466,1.808496982082516
467,1.808245148180741
468,1.8079941994299513
469,1.8077440153870024
470,1.8074920806942483
471,1.8072394211228362
472,1.806986447433171
473,1.8067339625360472
474,1.8064820821661203
475,1.8062306961665104
476,1.8059792159922086
477,1.8057271657873093
478,1.8054757115884636
479,1.8052235907857006
