Position,Group 0,Group 1
1,2.669250645994832,0.0
2,2.669250645994832,0.0
3,2.669250645994832,0.0
4,2.669250645994832,0.0
5,2.669250645994832,0.0
6,2.669250645994832,0.0
7,2.669250645994832,0.0
8,2.669250645994832,0.0
9,2.669250645994832,0.0
10,2.669250645994832,0.0
11,2.669250645994832,0.0
12,2.669250645994832,0.0
13,2.669250645994832,0.0
14,2.669250645994832,0.0
15,2.669250645994832,0.0
16,2.669250645994832,0.0
17,2.669250645994832,0.0
18,2.669250645994832,0.0
19,2.669250645994832,0.0
20,2.669250645994832,0.0
21,2.669250645994832,0.0
22,2.669250645994832,0.0
23,2.669250645994832,0.0
24,2.669250645994832,0.0
25,2.669250645994832,0.0
26,2.669250645994832,0.0
27,2.669250645994832,0.0
28,2.669250645994832,0.0
29,2.669250645994832,0.0
30,2.669250645994832,0.0
31,2.669250645994832,0.0
32,2.5858365633074936,0.049970975232198137
33,2.5883642627828674,0.04845670325546486
34,2.5907432740538074,0.047031506100892365
35,2.592986341823551,0.04568774878372401
36,2.595104794717198,0.04441864465084279
37,2.524966827292409,0.0864362814827211
38,2.528763769889841,0.0841616424963337
39,2.5323659974822763,0.08200365166309438
40,2.5357881136950904,0.07995356037151702
41,2.539043297409718,0.07800347353318735
42,2.4785898855666297,0.11421937195931002
43,2.4830238567393788,0.11156310749514002
44,2.4872562837679117,0.10902758232479592
45,2.49130060292851,0.10660474716202269
46,2.4371418941691942,0.13904967021133394
47,2.442080378250591,0.1360911665898162
48,2.3912037037037037,0.16656991744066046
49,2.3424036281179137,0.1958046376445315
50,2.3489405684754523,0.19188854489164084
51,2.355221158230734,0.18812602440356946
52,2.361260186841582,0.18450821624196237
53,2.367071327580323,0.1810269291430574
54,2.3232366733658725,0.20728700837059968
55,2.3295278365045804,0.2035181536729524
56,2.335594315245478,0.19988390092879255
57,2.341447935083186,0.19637716582477863
58,2.301078143098993,0.22056154585246074
59,2.307318355012482,0.21682321456682582
60,2.313350559862188,0.21320949432404537
61,2.3191849875037063,0.2097142567121758
62,2.2817787780278405,0.23212323978827523
63,2.2879291251384273,0.22843874391862004
64,2.2938872739018086,0.22486938854489164
65,2.2996620950109325,0.22140985949035483
66,2.3052619215409913,0.21805516464959185
67,2.310694589070153,0.2148006099533293
68,2.315967472260222,0.21164177745401563
69,2.3210875182563755,0.20857450531700092
70,2.326061277224068,0.20559486952675804
71,2.3308949303053463,0.20269916713905722
72,2.298521389606661,0.22209322325421396
73,2.3035998725708824,0.21905085033292332
74,2.3085410992387736,0.21609070370680278
75,2.313350559862188,0.21320949432404537
76,2.3180334557323543,0.21040410624083425
77,2.322594717943555,0.20767158538056368
78,2.3270390247134434,0.20500912915773592
79,2.2975828345271974,0.22265548457890816
80,2.3022286821705427,0.21987229102167183
81,2.306759817526398,0.21715781829300917
82,2.311180437385769,0.2145095522162652
83,2.3154945362846737,0.21192509977992466
84,2.2879291251384273,0.22843874391862004
85,2.2924152606779145,0.22575122928428334
86,2.2967970674839253,0.22312621499028004
87,2.2703971011910062,0.23894167467349917
88,2.2749295278365045,0.2362264283703912
89,2.2493685219057573,0.25153929105645806
90,2.224375538329027,0.2665118679050567
91,2.1999318510946417,0.28115537713060934
92,2.2050331423435567,0.2780993404226679
93,2.1813231085549165,0.2923033389926429
94,2.1865138270383198,0.28919372900335943
95,2.191595267237862,0.2861495844875346
96,2.196570844099914,0.2831688596491228
97,2.201443831748315,0.2802495930548019
98,2.206217370669198,0.27738990332975294
99,2.210894474460366,0.2745879851143009
100,2.2154780361757105,0.2718421052631579
101,2.2199708342927313,0.2691505992704534
102,2.224375538329027,0.2665118679050567
103,2.228694714131607,0.2639243740419009
104,2.2329308288610616,0.26138663967611336
105,2.2116648209671466,0.27412649270234407
106,2.215981668373068,0.2715403937145861
107,2.2202178270424304,0.26900263302566474
108,2.224375538329027,0.2665118679050567
109,2.2039684232984853,0.2787371829465731
110,2.2081982616866336,0.2762032085561497
111,2.212351886770491,0.27371489136195015
112,2.192598744924326,0.28554842989827506
113,2.1968169033408795,0.28302145264253814
114,2.2009610589781947,0.28053880832111233
115,2.1818222671609933,0.2920043074438013
116,2.1860242359440436,0.28948702893135475
117,2.190154376200888,0.2870127808208303
118,2.1942145140804974,0.2845804691189589
119,2.198206414348685,0.2821890366053542
120,2.2021317829457363,0.27983746130030956
121,2.2059922694172167,0.2775247550085715
122,2.20978946922523,0.2752499619347307
123,2.213524925946934,0.2730121573661557
124,2.217200133366675,0.2708104464196544
125,2.2208165374677002,0.2686439628482972
126,2.224375538329027,0.2665118679050567
127,2.227878491932694,0.26441334926013504
128,2.2313267118863047,0.2623476199690402
129,2.234721471065441,0.26031391748866006
130,2.2380640031802823,0.2583115027387473
131,2.2413555042704694,0.25633965920639046
132,2.224375538329027,0.2665118679050567
133,2.227720463950574,0.26450801927419165
134,2.231015465309113,0.26253407883184693
135,2.214489424825342,0.27243435385850245
136,2.198206414348685,0.2821890366053542
137,2.201644693411796,0.2801292626155341
138,2.185690746358087,0.28968681294027904
139,2.169966352499396,0.2991068445553155
140,2.173532668881506,0.2969703670942061
141,2.177048399215643,0.2948641942779351
142,2.1805146122211303,0.2927876858675271
143,2.1839323467230445,0.29074021953278917
144,2.1873026126902095,0.28872119023047815
145,2.1906263922302416,0.28673000960819894
