Position,NDCG
1,-0.3190109947741912
2,-0.3198602878171473
3,-0.32025295071687043
4,-0.32057260875608995
5,-0.32098947301723363
6,-0.3213602960153216
7,-0.3216552408559117
8,-0.3219016076181128
9,-0.32210361957277145
10,-0.3222727632138284
11,-0.3224340925247719
12,-0.3225944890371368
13,-0.32274192966099924
14,-0.3228747861651939
15,-0.3229944812482785
16,-0.323129747277869
17,-0.32325986747400076
18,-0.3233796230306315
19,-0.32348936991497357
20,-0.3235927975579878
21,-0.32369311703518644
22,-0.3237874102054233
23,-0.32387624096938494
24,-0.3239598992027382
25,-0.3240385166035709
26,-0.3241151263098448
27,-0.3241876858874371
28,-0.32425905738960165
29,-0.32432733211126186
30,-0.32439317274966717
31,-0.32445656734484796
32,-0.32451911071825734
33,-0.32457883712918895
34,-0.3246362456290222
35,-0.32469365100420305
36,-0.32474855701661137
37,-0.3248024656593669
38,-0.32485469885833995
39,-0.3249047935520539
40,-0.3249531163682706
41,-0.32500098788179155
42,-0.3250471743655175
43,-0.3250923987444063
44,-0.3251383038486487
45,-0.32518300591118243
46,-0.3252265561198954
47,-0.32526871480290237
48,-0.32530962678946945
49,-0.32534956810791005
50,-0.3253883365984344
51,-0.32542588299286657
52,-0.325462270321886
53,-0.3254980479353975
54,-0.32553286684465
55,-0.32556698284606805
56,-0.3256001916635898
57,-0.32563246144973823
58,-0.32566436062886017
59,-0.32569542835971954
60,-0.32572619819816306
61,-0.3257562428179504
62,-0.32578553192339343
63,-0.32581452980162257
64,-0.32584321668702393
65,-0.32587135366285436
66,-0.32589891585050623
67,-0.3259258167072895
68,-0.32595216477622413
69,-0.3259779280276859
70,-0.3260031308491366
71,-0.3260281375082422
72,-0.3260526692035807
73,-0.3260772514004525
74,-0.32610150025938894
75,-0.3261254008538974
76,-0.32614893610768403
77,-0.3261719911643994
78,-0.3261946458066715
79,-0.32621742415042254
80,-0.3262398665877198
81,-0.3262618840695018
82,-0.32628364291977147
83,-0.32630554724099314
84,-0.326327315237761
85,-0.3263494166078011
86,-0.3263717522256173
87,-0.3263937786370669
88,-0.3264155913207641
89,-0.32643705653260796
90,-0.3264582038768365
91,-0.3264790408731134
92,-0.3264996853892781
93,-0.3265201707098801
94,-0.3265404040176865
95,-0.32656048300510526
96,-0.3265810020524598
97,-0.32660124561248266
98,-0.32662131173127806
99,-0.32664107517716834
100,-0.32666077416182554
101,-0.3266805122063711
102,-0.32670000385306774
103,-0.32671918718796705
104,-0.32673807184750786
105,-0.32675683893611623
106,-0.3267753664162918
107,-0.3267937578470602
108,-0.32681194755623494
109,-0.3268299481165675
110,-0.3268478106845347
111,-0.32686545122016664
112,-0.32688300963439926
113,-0.3269003145739151
114,-0.32691754647158744
115,-0.3269345631990543
116,-0.3269513406217452
117,-0.3269680463781258
118,-0.3269846303601676
119,-0.32700104674541297
120,-0.3270175349638527
121,-0.3270338340147053
122,-0.3270499731329442
123,-0.32706620782528667
124,-0.32708222786391145
125,-0.32709837460616925
126,-0.32711435098725644
127,-0.32713020267465753
128,-0.32714586738648344
129,-0.3271613428050091
130,-0.3271766612367473
131,-0.3271918678192619
132,-0.3272068967026651
133,-0.32722185135667003
134,-0.32723675038565314
135,-0.3272515916287467
136,-0.3272663636013847
137,-0.32728108819482754
138,-0.32729564757728047
139,-0.32731004245967
140,-0.327324321134571
141,-0.327338536488676
142,-0.32735279141985285
143,-0.3273670439263348
144,-0.3273811388959406
145,-0.3273951325160332
146,-0.32740897110860345
147,-0.3274226728600776
148,-0.3274362599254124
149,-0.3274497019480421
150,-0.3274630164289762
151,-0.32747621810094574
152,-0.32748931350791993
153,-0.327502466988364
154,-0.3275157481864482
155,-0.32752888893331367
156,-0.32754212055680826
157,-0.3275552234082289
158,-0.32756820620095056
159,-0.327581124198494
160,-0.3275939225677062
161,-0.32760659701649336
162,-0.3276191855675226
163,-0.3276318120939847
164,-0.3276445727689539
165,-0.32765721582258994
166,-0.32766977191709556
167,-0.32768220251833596
168,-0.3276945726764651
169,-0.32770685675339517
170,-0.32771902428268024
171,-0.3277312199174222
172,-0.32774337522599967
173,-0.32775543462247614
174,-0.327767447191258
175,-0.32777950753694657
176,-0.32779151125781886
177,-0.3278034571570726
178,-0.3278153800675654
179,-0.3278271946898013
180,-0.32783893674916353
181,-0.3278506308502815
182,-0.3278622335520312
183,-0.3278739365860405
184,-0.3278855445707192
185,-0.3278971733879726
186,-0.3279087855116132
187,-0.3279203573331791
188,-0.3279318684406705
189,-0.32794333654528374
190,-0.32795475625183107
191,-0.3279661454413727
192,-0.32797745094237174
193,-0.3279886999172224
194,-0.3279998519811613
195,-0.32801092132018017
196,-0.32802199661736353
197,-0.32803311016309733
198,-0.32804414046182595
199,-0.3280550864862504
200,-0.32806600267096825
201,-0.3280769827725365
202,-0.3280879379232393
203,-0.3280988067702482
204,-0.3281096097754939
205,-0.32812033307662586
206,-0.3281309895258115
207,-0.32814167372253955
208,-0.32815231295414865
209,-0.3281628785524473
210,-0.3281733839341921
211,-0.32818381119774026
212,-0.3281941753194546
213,-0.3282045066481475
214,-0.3282148235030378
215,-0.32822526224760573
216,-0.32823561955463515
217,-0.3282459248852597
218,-0.3282561739546088
219,-0.32826637627879635
220,-0.32827654412398133
221,-0.3282866440470018
222,-0.3282966679944126
223,-0.3283066177828912
224,-0.32831651269668966
225,-0.3283263874929789
226,-0.3283362085912744
227,-0.32834596917070014
228,-0.3283556868063438
229,-0.3283653546191156
230,-0.32837498654838193
231,-0.32838457441780944
232,-0.32839411207964936
233,-0.3284036250157475
234,-0.32841310119165384
235,-0.32842253856271314
236,-0.3284319233393141
237,-0.32844127257432587
238,-0.3284506132824355
239,-0.32845989259538366
240,-0.3284691701735469
241,-0.3284783873112432
242,-0.32848764705990696
243,-0.32849688197201676
244,-0.3285060838737777
245,-0.32851525757050254
246,-0.32852455421923266
247,-0.3285338005801146
248,-0.32854304340604096
249,-0.32855223159266733
250,-0.3285613955605278
251,-0.3285705141914494
252,-0.32857957818530353
253,-0.32858867622705185
254,-0.328597715672494
255,-0.3286067090561162
256,-0.3286157159079465
257,-0.32862470080954137
258,-0.3286336320356604
259,-0.3286425451424363
260,-0.32865141992113606
261,-0.3286603005967321
262,-0.32866912786914115
