Position,Group 0,Group 1
1,1.2599179206566347,0.0
2,1.2599179206566347,0.0
3,1.2599179206566347,0.0
4,1.2599179206566347,0.0
5,1.2599179206566347,0.0
6,1.2599179206566347,0.0
7,1.2599179206566347,0.0
8,1.2599179206566347,0.0
9,1.2599179206566347,0.0
10,1.2599179206566347,0.0
11,1.2599179206566347,0.0
12,1.2599179206566347,0.0
13,1.2599179206566347,0.0
14,1.2599179206566347,0.0
15,1.2599179206566347,0.0
16,1.2599179206566347,0.0
17,1.2599179206566347,0.0
18,1.2599179206566347,0.0
19,1.2599179206566347,0.0
20,1.2599179206566347,0.0
21,1.2599179206566347,0.0
22,1.2599179206566347,0.0
23,1.2599179206566347,0.0
24,1.2599179206566347,0.0
25,1.2599179206566347,0.0
26,1.2599179206566347,0.0
27,1.2599179206566347,0.0
28,1.2599179206566347,0.0
29,1.2599179206566347,0.0
30,1.2599179206566347,0.0
31,1.2599179206566347,0.0
32,1.2599179206566347,0.0
33,1.2599179206566347,0.0
34,1.2599179206566347,0.0
35,1.2599179206566347,0.0
36,1.2599179206566347,0.0
37,1.2599179206566347,0.0
38,1.2599179206566347,0.0
39,1.2599179206566347,0.0
40,1.2599179206566347,0.0
41,1.2599179206566347,0.0
42,1.2599179206566347,0.0
43,1.230617503897178,0.11272949816401469
44,1.231283422459893,0.11016746411483254
45,1.231919744642043,0.10771929824561403
46,1.23252840064236,0.10537757437070938
47,1.2331111563873445,0.10313549832026875
48,1.2336696306429549,0.10098684210526315
49,1.234205310030989,0.09892588614393125
50,1.234719562243502,0.09694736842105263
51,1.235213647702583,0.09504643962848297
52,1.2356887298747763,0.09321862348178138
53,1.2361458844178304,0.09145978152929493
54,1.2365861073111415,0.08976608187134502
55,1.2370103220992414,0.08813397129186602
56,1.2374193863591947,0.08656015037593984
57,1.23781409748722,0.0850415512465374
58,1.2381951978866927,0.08357531760435571
59,1.2385633796285562,0.08215878679750223
60,1.2389192886456908,0.08078947368421052
61,1.2392635285147227,0.07946505608283003
62,1.2395966638718503,0.07818336162988115
63,1.2399192235033547,0.0769423558897243
64,1.2402317031463748,0.07574013157894736
65,1.2405345680311481,0.0745748987854251
66,1.2408282551921404,0.07344497607655502
67,1.2411131755722073,0.07234878240377061
68,1.241389715941096,0.07128482972136223
69,1.2416582406471184,0.07025171624713959
70,1.2419190932186828,0.06924812030075188
71,1.242172597830485,0.06827279466271312
72,1.242419060647515,0.06732456140350876
73,1.2426587710585986,0.06640230713770727
74,1.2428920028099235,0.0655049786628734
75,1.2431190150478797,0.06463157894736843
76,1.2433400532795738,0.06378116343490305
77,1.2435553502584966,0.06295283663704716
78,1.2437651268020626,0.062145748987854244
79,1.243969592547057,0.06135909393737508
80,1.244168946648427,0.0605921052631579
81,1.2443633784263057,0.05984405458089668
82,1.2445530679657002,0.059114249037227215
83,1.2447381866728198,0.05840202916930882
84,1.2449188977916748,0.05770676691729323
85,1.2450953568842038,0.05702786377708978
86,1.2452677122769065,0.056364749082007344
87,1.2454361054766734,0.055716878402903805
88,1.245600671558264,0.05508373205741627
89,1.2457615395256612,0.05446481371969249
90,1.245918832649339,0.05385964912280702
91,1.246072668781287,0.05326778484673222
92,1.2462231606494973,0.05268878718535469
93,1.246370416133445,0.05212224108658744
94,1.2465145385219898,0.051567749160134374
95,1.246655626754986,0.051024930747922435
96,1.2467937756497949,0.050493421052631576
97,1.2469290761137828,0.04997287032013022
98,1.2470616153438119,0.04946294307196562
99,1.2471914770136385,0.04896331738437002
100,1.2473187414500684,0.048473684210526315
101,1.2474434857986483,0.04799374674309536
102,1.2475657841796088,0.047523219814241485
103,1.2476857078347257,0.04706182933060807
104,1.2478033252657055,0.04660931174089069
105,1.2479187023646667,0.04616541353383459
106,1.2480319025372324,0.045729890764647466
107,1.2481429868187222,0.045302508607968514
108,1.248252013983888,0.04488304093567251
109,1.2483590406506107,0.04447126991791405
110,1.2484641213779382,0.04406698564593301
111,1.2485673087588272,0.04366998577524893
112,1.2486686535079148,0.04328007518796992
113,1.2487682045446291,0.042897065673032135
114,1.23781409748722,0.0850415512465374
115,1.2270504966395053,0.12645308924485124
116,1.2273338365017217,0.12536297640653357
117,1.2276123329474902,0.12429149797570849
118,1.2278861091145168,0.12323818019625335
119,1.2281552840014254,0.12220256523662096
120,1.217920656634747,0.16157894736842104
121,1.218267741461374,0.16024358416702913
122,1.2186091363728107,0.15893011216566005
123,1.2189449801474759,0.15763799743260593
124,1.219275407087066,0.1563667232597623
125,1.2196005471956224,0.1551157894736842
126,1.219920526350075,0.1538847117794486
127,1.2202354664627248,0.15267302113551595
128,1.2205454856361149,0.15148026315789473
129,1.2208506983106926,0.15030599755201957
130,1.211459539092918,0.18643724696356276
131,1.2118294504025648,0.18501406187223784
132,1.2121937569953987,0.18361244019138756
133,1.2125525852936032,0.1822318955282944
134,1.2129060579455662,0.18087195600942652
135,1.203921568627451,0.21543859649122807
136,1.2043333065100186,0.2138544891640867
137,1.2047390336205779,0.21229350749135614
138,1.2051388806280854,0.21075514874141876
139,1.2055329744412404,0.20923892464975388
140,1.205921438342779,0.20774436090225562
141,1.2063043921180545,0.2062709966405375
142,1.1978092907651103,0.2389547813194959
143,1.198243616848268,0.23728376886271624
144,1.198671910624715,0.2356359649122807
145,1.1990942969007972,0.234010889292196
146,1.1995108970635084,0.23240807498197547
147,1.1999218291967948,0.2308270676691729
148,1.2003272081931453,0.2292674253200569
149,1.2007271458606854,0.2277287177675733
150,1.2011217510259917,0.22621052631578947
151,1.2015111296328171,0.22471244336005577
