PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Mo Layton,5,12.24,1826,M
Stan Love,4,13.35,1550,M
Charlie Lowery,1,10.5,45,M
Jim Marsh,1,8.6,119,M
Jim McDaniels,5,11.54,967,M
Gil McGregor,1,6.8,171,M
Kenny McIntosh,6,7.92,1204,M
Cliff Meely,7,12.84,2795,M
Dean Meminger,6,11.4,2552,M
John Mengelt,12,12.4,6985,M
Barry Nelson,1,7.6,35,M
Mike Newlin,11,15.06,12507,M
Willie Norwood,9,12.77,3407,M
Steve Patterson,7,10.5,1754,M
Tom Payne,1,15.0,119,M
Howard Porter,11,13.64,5425,M
Clifford Ray,10,13.7,5821,M
Jackie Ridgle,1,13.7,57,M
Rich Rinaldi,3,9.93,393,M
Curtis Rowe,8,12.22,6873,M
Charlie Scott,11,14.05,11101,M
Elmore Smith,10,15.91,8140,M
Randy Smith,14,15.77,16925,M
William Smith,2,13.15,205,M
Larry Steele,9,12.41,5009,M
George Trapp,6,12.92,3353,M
Sidney Wicks,10,15.32,12803,M
Nate Williams,12,15.18,9563,M
Isaiah Wilson,1,12.6,167,M
Dave Wohl,13,10.28,3774,M
Barry Yates,1,10.7,69,M
Charlie Yelverton,1,10.3,545,M
Henry Bibby,11,13.1,6452,M
Freddie Boyd,8,9.25,2961,M
Steve Bracey,3,12.53,1141,M
John Brisker,3,16.37,1498,M
Roger Brown,4,5.5,135,M
Corky Calhoun,10,9.91,3218,M
Bob Davis,1,-1.0,16,M
Dwight Davis,5,11.62,2936,M
Mickey Davis,5,14.32,1478,M
Charles Dudley,6,13.12,1908,M
Scott English,1,11.2,93,M
Chris Ford,12,11.75,8562,M
Harold Fox,1,10.0,31,M
Rowland Garrett,9,13.46,1859,M
John Gianelli,10,11.21,4814,M
Travis Grant,2,10.4,128,M
Luther Green,1,-9.4,3,M
Charles Johnson,9,12.16,4764,M
Ollie Johnson,12,12.67,5842,M
Manny Leaks,2,10.25,1114,M
Russ Lee,3,14.07,282,M
LaRue Martin,4,12.1,1430,M
Bob McAdoo*,20,18.73,22300,M
Paul McCracken,3,9.53,160,M
Eric McWilliams,1,5.9,86,M
Mark Minor,1,6.8,5,M
Bob Nash,4,9.72,1036,M
Lloyd Neal,7,13.33,4846,M
Tom Patterson,2,13.25,56,M
Kevin Porter,12,14.57,8879,M
Jim Price,14,13.72,7203,M
Mike Ratliff,2,5.1,241,M
Tom Riker,3,14.47,225,M
Ron Riley,6,11.1,1728,M
Frank Russell,1,14.5,74,M
Frank Schade,1,5.8,10,M
Sam Sibert,1,6.4,12,M
Bud Stallworth,5,10.46,2403,M
Paul Stovall,1,9.4,76,M
Chuck Terry,3,6.93,439,M
Justus Thigpen,2,14.2,48,M
John Tschogl,3,6.53,277,M
Paul Westphal,12,17.91,12809,M
Harthorne Wingo,4,12.02,1023,M
Joby Wright,1,9.2,303,M
Mike Bantom,15,13.87,10928,M
Ron Behagen,13,6.99,4914,M
Dennis Bell,3,4.4,175,M
Jim Brewer,11,11.35,4407,M
Allan Bristow,9,14.24,5122,M
John Brown,9,8.96,3726,M
Larry Cannon,1,10.2,117,M
Bill Chamberlain,1,14.2,153,M
Ken Charles,5,11.54,2747,M
E.C. Coleman,6,10.23,2553,M
Doug Collins,8,14.99,7427,M
Mike D'Antoni,4,9.03,432,M
Mel Davis,6,11.62,1408,M
Derrek Dickey,7,12.14,2166,M
Ernie DiGregorio,7,10.63,3201,M
Steve Downing,2,1.85,64,M
Rod Freeman,1,10.9,106,M
Bernie Fryer,2,12.1,686,M
Jim Garvin,1,3.9,2,M
Phil Hankinson,2,17.5,122,M
Nate Hawthorne,3,12.6,882,M
Tom Ingelsby,1,9.5,129,M
Dwight Jones,14,12.46,7265,M
Ben Kelso,1,6.8,85,M
Tom Kozelko,3,7.87,407,M
Kevin Kunnert,11,13.24,4833,M
Mike Macaluso,1,10.2,48,M
Ted Manakas,1,7.2,12,M
Vester Marshall,1,3.4,17,M
Allie McGuire,1,10.3,4,M
Larry McNeill,10,16.6,3148,M
Gary Melchionni,2,12.65,1074,M
Louie Nelson,7,10.87,2340,M
Jim Owens,2,13.7,177,M
Ed Ratleff,5,12.64,2813,M
Joe Reaves,1,10.8,16,M
Mark Sibley,1,9.3,46,M
Bob Verga,1,13.3,104,M
Kermit Washington,12,15.18,5330,M
Slick Watts,8,13.45,4431,M
Nick Weatherspoon,9,12.13,4797,M
Luke Witte,3,11.8,372,M
Dan Anderson,2,12.15,347,M
Jim Ard,6,7.53,790,M
Gus Bailey,5,10.1,389,M
Leon Benbow,2,10.85,628,M
Ken Boyd,1,25.3,19,M
Gary Brokaw,6,13.65,2575,M
Tom Burleson,7,14.04,4190,M
Harvey Catchings,13,9.94,2599,M
Jim Chones,8,13.34,7664,M
Ben Clyde,1,11.3,69,M
Jesse Dark,1,11.0,170,M
Rod Derline,2,12.95,518,M
John Drew,11,20.25,15291,M
Dennis DuVal,2,11.1,96,M
Al Eberhard,4,10.65,1490,M
Leonard Gray,5,12.28,3042,M
Bernie Harris,1,3.6,5,M
Steve Hawes,14,13.21,6653,M
Tom Henderson,11,12.86,7063,M
Greg Jackson,3,7.3,364,M
Wardell Jackson,1,7.0,243,M
Aaron James,5,13.7,3829,M
Mickey Johnson,15,16.2,13845,M
Jimmy Jones,3,9.37,901,M
Frank Kendrick,1,20.3,80,M
Len Kosmalski,2,11.05,110,M
Bill Ligon,1,11.8,126,M
Phil Lumpkin,2,9.85,272,M
Glenn McDonald,3,8.43,609,M
Eric Money,10,12.79,6898,M
Connie Norman,3,14.67,595,M
Kevin Restani,12,9.95,3613,M
Truck Robinson,15,14.75,14906,M
Campy Russell,9,14.3,8953,M
Fred Saunders,6,10.27,1331,M
Tal Skinner,2,9.6,660,M
Don Smith,1,12.6,283,M
Phil Smith,11,14.85,10772,M
Mike Sojourner,3,13.57,1658,M
Kevin Stacom,8,9.38,2081,M
George Thompson,1,12.7,780,M
Dean Tolson,3,10.43,402,M
Foots Walker,10,13.27,4199,M
Bill Walton*,10,18.57,6215,M
Perry Warbington,1,3.1,10,M
Stan Washington,1,-10.3,0,M
Scott Wedman,15,13.0,12759,M
Owen Wells,1,12.9,99,M
Jamaal Wilkes*,12,15.64,14644,M
Earl Williams,4,14.22,664,M
Bobby Wilson,4,11.32,792,M
Brian Winters,9,14.96,10537,M
Alvan Adams,13,18.02,13910,M
Jerome Anderson,2,11.55,127,M
Jerry Baskerville,1,8.0,26,M
Bob Bigelow,6,9.9,242,M
Tom Boswell,8,12.81,3724,M
Junior Bridgeman,12,15.2,11517,M
Joe Bryant,8,12.53,5252,M
Al Carlson,1,9.0,72,M
Jim Creighton,1,5.5,31,M
Darryl Dawkins,16,10.54,8743,M
Henry Dickerson,2,6.55,45,M
Eric Fernsten,8,9.49,609,M
Larry Fogle,1,-0.5,2,M
Don Ford,9,9.69,3324,M
World B.,15,17.35,19698,M
Donnie Freeman,1,14.5,689,M
Kevin Grevey,10,12.26,7364,M
Bob Gross,8,13.9,4567,M
Lindsay Hairston,1,14.8,273,M
Glenn Hansen,5,-5.92,588,M
Robert Hawkins,4,20.07,1313,M
Wilbur Holland,4,14.0,3760,M
Lionel Hollins,12,12.21,8337,M
Steve Jones,1,12.1,414,M
Rich Kelley,15,14.11,7303,M
Tom Kropp,2,7.35,193,M
C.J. Kupec,3,10.8,606,M
John Lambert,11,11.21,2049,M
John Laskowski,2,10.55,832,M
Greg Lee,1,12.8,6,M
Clyde Mayes,5,6.56,310,M
Ken Mayfield,1,7.3,37,M
Jim McElroy,9,11.27,4713,M
George McGinnis,9,17.16,10162,M
Tom McMillen,13,12.28,6558,M
Joe Meriweather,12,12.31,6049,M
Dave Meyers,4,14.02,3149,M
Frank Oleynick,2,10.25,508,M
Cliff Pondexter,3,11.57,778,M
Bill Robinzine,9,13.64,6544,M
John Roche,4,9.93,1358,M
Bruce Seals,3,11.37,2422,M
Ed Searcy,1,5.6,6,M
Gene Short,3,9.87,168,M
John Shumate,14,13.07,6724,M
Ricky Sobers,11,13.71,10902,M
Terry Thomas,1,16.3,77,M
Rudy White,7,8.99,445,M
Gus Williams,11,17.65,14093,M
Bill Willoughby,10,10.85,3273,M
Tom Abernethy,7,10.4,1842,M
Bird Averitt,4,10.3,1581,M
Tom Barker,5,10.42,802,M
Marvin Barnes,6,12.75,2255,M
Norton Barnhill,1,4.7,4,M
Mike Barr,1,10.3,285,M
Tim Bassett,6,7.83,1424,M
Byron Beck,1,13.2,250,M
Mel Bennett,4,6.78,498,M
Ron Boone,7,11.06,6288,M
Quinn Buckner,10,12.58,5929,M
Ticky Burden,2,10.75,349,M
Don Buse,9,12.56,4485,M
Mack Calvin,7,14.29,2279,M
M.L. Carr,9,12.29,5853,M
Cornelius Cash,1,12.0,21,M
Norm Cook,2,7.05,65,M
Louie Dampier*,3,12.47,1553,M
Mel Daniels*,1,10.7,39,M
Adrian Dantley*,19,20.37,26274,M
Johnny Davis,12,14.23,10127,M
Ron Davis,3,6.83,417,M
Randy Denton,1,11.2,239,M
Coby Dietrick,7,11.09,2915,M
Leon Douglas,7,10.2,3587,M
Mike Dunleavy,32,13.5,15921,M
Jim Eakins,4,12.1,766,M
Len Elmore,8,10.35,2327,M
Darrell Elston,1,-1.6,5,M
Alex English*,17,19.11,26931,M
Julius Erving*,11,21.77,18364,M
Butch Feher,1,15.9,248,M
Mike Flynn,2,13.05,896,M
Terry Furlow,8,15.99,4544,M
Mike Gale,8,13.09,3743,M
Gus Gerard,13,14.19,2829,M
George Gervin*,10,21.47,20708,M
Artis Gilmore*,14,17.69,15844,M
Mike Green,6,13.47,2645,M
Steve Green,3,11.87,705,M
Paul Griffin,7,11.26,2443,M
Rudy Hackett,3,7.07,28,M
Phil Hicks,4,9.18,225,M
Armond Hill,12,8.68,3734,M
Darnell Hillman,6,12.3,3318,M
Mo Howard,3,18.07,304,M
Kim Hughes,7,8.69,987,M
Dan Issel*,9,20.84,14659,M
Dennis Johnson*,14,14.62,15535,M
Bobby Jones,17,13.88,9377,M
Caldwell Jones,14,9.9,6589,M
Rich Jones,1,12.5,360,M
Robin Jones,2,10.4,370,M
Wil Jones,2,11.05,1578,M
George Karl,2,6.45,85,M
Goo Kennedy,1,7.8,65,M
Larry Kenon,10,13.84,8815,M
Billy Knight,13,15.92,12079,M
Mitch Kupchak,9,14.23,5202,M
Bo Lamar,1,12.8,502,M
Ron Lee,10,11.03,4111,M
Scott Lloyd,10,5.79,2014,M
John Lucas,22,13.5,11098,M
Maurice Lucas,14,15.7,13262,M
Moses Malone*,21,20.11,28492,M
Scott May,7,13.41,3690,M
Andre McCarter,3,4.4,392,M
Ted McClain,5,10.2,1361,M
Allen Murphy,1,1.8,5,M
Swen Nater,8,15.26,5943,M
Johnny Neumann,4,12.25,845,M
Mark Olberding,11,12.29,8145,M
Tom Owens,7,15.41,5612,M
Joe Pace,2,15.1,255,M
Robert Parish*,21,18.65,23334,M
Sonny Parker,6,15.23,4471,M
Billy Paultz,13,11.78,6424,M
Marv Roberts,1,6.0,58,M
Dave Robisch,15,11.83,5832,M
Marshall Rogers,1,9.8,100,M
Dan Roundfield,11,17.44,11318,M
Phil Sellers,1,14.0,198,M
Lonnie Shelton,10,13.37,8049,M
James Silas,6,16.37,5060,M
Ralph Simpson,8,10.78,2773,M
Al Skinner,8,10.68,2771,M
Willie Smith,4,6.25,357,M
Keith Starr,1,3.7,14,M
Earl Tatum,8,12.71,4293,M
Brian Taylor,6,13.97,4064,M
Fatty Taylor,1,11.1,301,M
Ira Terrell,4,11.05,1107,M
Claude Terry,4,11.72,515,M
David Thompson*,8,19.38,11264,M
Monte Towe,1,10.3,130,M
Dave Twardzik,4,14.85,2666,M
Jan Van,7,9.3,2596,M
Andy Walker,1,13.0,180,M
Wally Walker,10,11.58,4451,M
Lloyd Walton,5,11.54,1442,M
Henry Ward,1,10.3,83,M
Richard Washington,8,11.54,4256,M
Marvin Webster,9,12.7,4137,M
Bob Wilkerson,7,11.16,5424,M
Chuck Williams,4,9.97,978,M
Chuckie Williams,1,8.8,37,M
John Williamson,11,13.97,9919,M
Willie Wise,2,3.7,617,M
Larry Wright,6,7.93,2824,M
Tate Armstrong,2,8.8,350,M
Greg Ballard,11,14.55,9953,M
Kent Benson,13,13.53,6866,M
Otis Birdsong,12,14.67,12544,M
Phil Bond,1,5.3,4,M
Jim Bostic,1,18.9,26,M
Alonzo Bradley,3,7.47,440,M
Mike Bratz,9,11.0,4081,M
Wayman Britt,1,13.5,9,M
Kenny Carr,14,13.53,9637,M
Bob Carrington,4,9.0,1308,M
Wesley Cox,2,8.5,342,M
Charlie Criss,12,11.85,4182,M
Mark Crow,1,12.8,84,M
Brad Davis,19,12.95,8027,M
Walter Davis,17,18.04,20445,M
Jacky Dorsey,5,10.74,177,M
T.R. Dunn,14,10.23,5033,M
James Edwards,25,13.41,17263,M
Bo Ellis,3,11.13,613,M
Al Fleming,1,10.7,40,M
Bayard Forrest,2,10.9,569,M
Mike Glenn,10,14.53,4496,M
Glen Gondrezick,6,13.75,2544,M
Rickey Green,16,13.97,9161,M
Greg Griffin,1,6.8,145,M
Ernie Grunfeld,9,12.44,5124,M
Joe Hassett,8,12.49,2079,M
Eddie Johnson,33,15.2,31852,M
Larry Johnson,11,15.21,11456,M
Marques Johnson,11,18.49,13892,M
Eddie Jordan,13,10.91,4410,M
Bernard King*,14,18.46,19655,M
Toby Knight,4,14.22,3640,M
John Kuester,3,10.07,451,M
Tom LaGarde,6,8.45,2376,M
Mark Landsberger,9,12.91,3082,M
Rich Laurel,1,7.5,24,M
Ricky Marsh,1,8.4,269,M
Cedric Maxwell,13,15.88,11274,M
Larry Moffett,1,4.0,16,M
Glenn Mosley,2,6.4,98,M
Norm Nixon,10,14.99,12065,M
Eddie Owens,1,8.8,21,M
Ben Poquette,12,11.91,5063,M
Robert Reid,15,11.25,10862,M
Anthony Roberts,5,9.12,1658,M
Tony Robertson,2,10.65,409,M
Tree Rollins,18,11.93,6249,M
Alvin Scott,8,10.99,3088,M
Steve Sheppard,4,10.57,459,M
Jack Sikma,14,17.13,17287,M
Scott Sims,1,5.2,30,M
Robert Smith,11,8.97,1482,M
Phil Walker,1,9.0,178,M
Wilson Washington,4,10.42,960,M
Ray Williams,13,15.05,10513,M
Kim Anderson,1,3.0,63,M
Del Beshore,2,3.2,244,M
Dennis Boyd,1,-4.0,6,M
Winford Boynes,3,10.3,1478,M
Ron Brewer,20,11.38,9578,M
Greg Bunch,1,9.2,28,M
Marty Byrnes,6,9.9,1975,M
Ron Carter,2,6.75,176,M
Maurice Cheeks,17,16.06,12984,M
Michael Cooper,12,13.03,7729,M
Wayne Cooper,14,12.76,7777,M
Dave Corzine,13,12.47,7615,M
Geoff Crompton,5,5.56,99,M
Harry Davis,2,8.2,175,M
Bob Elliott,3,12.5,980,M
Ray Epps,1,7.9,26,M
Phil Ford,9,11.99,6118,M
Jack Givens,2,12.25,1040,M
Tommie Green,1,8.3,232,M
Lars Hansen,1,13.6,76,M
James Hardy,4,11.45,1410,M
Keith Herron,3,9.83,1219,M
Kenny Higgs,3,11.7,1470,M
Essie Hollis,1,11.8,69,M
Otis Howard,3,12.27,118,M
Clemon Johnson,12,12.5,4811,M
Jeff Judkins,5,11.66,1482,M
Joel Kramer,5,10.46,1257,M
Butch Lee,6,9.23,1546,M
John Long,16,12.79,12503,M
Billy McKinney,9,13.11,4641,M
Mike Mitchell,12,16.18,16742,M
John Olive,2,-4.75,44,M
Roger Phegley,12,12.28,4476,M
Stan Pietkiewicz,5,7.44,520,M
Wayne Radford,1,9.7,202,M
Marlon Redmond,4,5.12,856,M
Micheal Ray,10,15.85,9059,M
Rick Robey,10,10.92,4541,M
Jackie Robinson,3,12.9,83,M
John Rudd,1,8.2,184,M
Frankie Sanders,4,13.78,616,M
Purvis Short,12,16.64,14607,M
Sam Smith,2,14.2,315,M
Reggie Theus,15,16.14,19760,M
Mychal Thompson,14,14.95,13748,M
Raymond Townsend,3,8.27,745,M
Terry Tyler,11,14.32,8868,M
Andre Wakefield,4,-1.95,359,M
Jerome Whitehead,18,9.24,4918,M
Freeman Williams,8,14.64,5458,M
Rick Wilson,2,5.85,194,M
James Bailey,13,11.97,6901,M
Billy Ray,6,12.03,2320,M
Larry Bird*,13,23.08,21791,M
Lawrence Boston,1,12.6,56,M
Dudley Bradley,11,9.85,3554,M
Bill Cartwright,15,13.5,12713,M
Jeff Cook,14,9.99,3521,M
Hollis Copeland,2,9.25,464,M
John Coughran,1,6.0,68,M
Terry Crosby,1,3.5,6,M
Pat Cummings,12,12.92,6529,M
Paul Dawkins,1,11.0,316,M
Greg Deane,1,4.5,10,M
Larry Demic,3,7.83,976,M
Terry Duerod,6,11.7,1208,M
Earl Evans,1,10.3,157,M
Mike Evans,11,10.68,4614,M
Gary Garland,1,10.2,334,M
Dave Greenwood,14,12.56,8894,M
Roy Hamilton,2,9.75,336,M
Gerald Henderson,29,11.93,15331,M
Johnny High,4,8.5,1396,M
Brad Holland,5,3.52,350,M
Phil Hubbard,12,13.34,8071,M
Geoff Huston,10,11.76,5453,M
Abdul Jeelani,2,17.1,1290,M
Cheese Johnson,1,9.4,27,M
Magic Johnson*,13,23.98,17707,M
Vinnie Johnson,15,14.57,12369,M
Major Jones,6,11.57,1643,M
Greg Kelser,8,13.11,3298,M
Irv Kiffin,1,3.7,82,M
Carl Kilpatrick,1,22.7,3,M
Reggie King,6,12.08,3898,M
Arvid Kramer,1,6.6,16,M
Allen Leavell,10,13.81,6684,M
Ollie Mack,7,9.21,1788,M
Steve Malovic,4,6.8,160,M
Paul Mokeski,16,8.27,3268,M
Sidney Moncrief,11,17.75,11931,M
Calvin Natt,15,15.93,11995,M
Sylvester Norris,1,3.3,40,M
Wiley Peck,1,8.9,180,M
Sam Pellom,6,8.57,875,M
Clint Richardson,8,10.93,4084,M
Cliff Robinson,13,16.8,12081,M
Jim Spanarkel,5,14.84,2505,M
Bernard Toone,1,8.9,55,M
Duck Williams,1,8.6,506,M
Sly Williams,7,12.24,3327,M
Bubba Wilson,1,2.1,17,M
Tony Zeno,1,0.2,14,M
Darrell Allums,1,5.3,59,M
Norman Black,1,1.9,8,M
Dave Britton,1,18.0,4,M
Michael Brooks,6,12.85,4086,M
Lewis Brown,1,-18.6,2,M
Rickey Brown,7,10.03,1881,M
Joe Barry,14,14.66,14192,M
Butch Carter,8,7.15,3157,M
Reggie Carter,2,9.1,471,M
Art Collins,1,4.3,94,M
Don Collins,8,13.51,3914,M
Darwin Cook,10,13.27,6327,M
Earl Cureton,14,9.15,4188,M
Monti Davis,3,14.43,6,M
James Donaldson,18,12.44,9204,M
Larry Drew,11,12.49,8156,M
Ralph Drollinger,1,5.3,15,M
John Duren,3,5.93,712,M
Tony Fuller,1,6.9,60,M
Calvin Garrett,4,8.45,855,M
Mike Gminski,20,14.54,13248,M
Darrell Griffith,10,14.02,12391,M
Bill Hanzlik,10,10.86,5414,M
Alan Hardy,2,9.0,193,M
Mike Harper,2,10.3,613,M
Cedrick Hordges,2,10.55,1099,M
Tony Jackson,1,12.9,2,M
Lee Johnson,3,-0.8,34,M
Reggie Johnson,9,12.29,3974,M
Edgar Jones,10,14.29,4276,M
Walter Jordan,1,8.5,68,M
Clarence Kea,2,14.15,198,M
Chad Kinch,3,6.6,236,M
Wayne Kreklow,1,-1.9,30,M
Bill Laimbeer,16,15.83,14508,M
Edmund Lawrence,1,19.4,12,M
Ronnie Lester,6,11.08,1816,M
Kyle Macy,7,13.9,5259,M
Rick Mahorn,18,10.42,7763,M
Wes Matthews,13,13.56,4781,M
Bill Mayfield,1,6.8,17,M
Keith McCord,1,7.9,4,M
Kevin McHale*,13,19.64,17335,M
Dick Miller,3,3.03,16,M
Johnny Moore,11,11.91,4898,M
Lowes Moore,3,13.8,752,M
Kenny Natt,5,5.56,156,M
Carl Nicks,5,10.56,1482,M
Mike Niles,1,6.7,115,M
Mike O'Koren,8,11.43,3355,M
Jawann Oldham,12,9.22,1464,M
Louis Orr,8,12.08,5545,M
Myles Patrick,1,6.9,5,M
Tony Price,1,2.4,4,M
Wally Rank,1,4.0,55,M
Kelvin Ransey,6,14.7,5380,M
James Ray,3,8.77,334,M
Billy Reid,1,6.2,190,M
Wayne Robinson,1,11.5,643,M
Lorenzo Romar,9,9.01,2135,M
DeWayne Scales,3,6.97,224,M
Craig Shelton,2,7.3,240,M
Jerry Sichting,14,9.85,4475,M
Larry Smith,13,11.82,5904,M
Rory Sparrow,18,9.31,8880,M
John Stroud,1,6.4,25,M
Carlos Terry,3,8.23,285,M
Andrew Toney,8,13.86,7458,M
Ronnie Valentine,1,10.3,84,M
Kiki Vandeweghe,15,16.61,16479,M
Brett Vroman,1,11.8,34,M
Hawkeye Whitney,2,9.7,404,M
Michael Wiley,2,18.0,692,M
James Wilkes,3,9.97,547,M
Jeff Wilkins,8,9.43,3927,M
Mike Woodson,15,12.46,12349,M
Sam Worthen,2,5.4,239,M
Mark Aguirre,15,17.84,19969,M
Danny Ainge,16,14.73,13245,M
Carl Bailey,1,-6.8,2,M
Gene Banks,6,14.9,5305,M
Rolando Blackman,13,16.22,17623,M
Ray Blume,1,9.7,226,M
Alex Bradley,1,12.4,137,M
Charles Bradley,3,6.03,347,M
Brad Branson,2,12.2,391,M
Jim Brogan,2,13.2,619,M
Roger Burkman,1,15.5,5,M
David Burns,3,3.27,46,M
Bobby Cattage,2,10.15,242,M
Tom Chambers,16,15.91,20049,M
Joe Cooper,6,6.33,199,M
Charles Davis,12,9.3,2676,M
Kenny Dennard,3,8.77,268,M
Mickey Dillard,1,7.0,73,M
John Douglas,2,9.95,452,M
Craig Dykema,1,11.1,43,M
Franklin Edwards,7,11.9,1802,M
Petur Gudmundsson,4,9.35,693,M
Glenn Hagan,1,18.1,7,M
Steve Hayes,7,9.13,685,M
Tracy Jackson,5,10.68,890,M
Clay Johnson,3,9.67,224,M
Frank Johnson,10,12.57,4937,M
Steve Johnson,14,11.6,8231,M
Albert King,9,13.0,6470,M
Jeff Lamp,8,11.04,2103,M
Rock Lee,1,1.0,2,M
Alton Lister,18,10.74,6441,M
Lewis Lloyd,9,11.39,5199,M
Kevin Loder,5,7.86,923,M
Rudy Macklin,3,9.73,1030,M
John McCullough,1,30.7,21,M
Hank McDowell,8,10.11,763,M
Mike McGee,11,13.32,5543,M
Kevin McKenna,6,9.45,1320,M
Larry Nance,17,19.05,17765,M
Kurt Nimphius,12,11.08,4889,M
Mark Radford,2,11.2,347,M
Ed Rains,2,8.2,287,M
Kurt Rambis,18,12.09,5242,M
Jeff Ruland,8,15.28,5763,M
Danny Schayes,22,11.61,9777,M
Jim Smith,2,11.7,219,M
Larry Spriggs,5,11.88,873,M
Isiah Thomas*,13,17.93,18822,M
Ray Tolbert,11,10.03,1602,M
Kelly Tripucka,10,15.72,12142,M
Elston Turner,8,8.8,2397,M
Darnell Valentine,11,13.56,5856,M
Pete Verhoeven,6,9.53,1000,M
Jay Vincent,13,12.72,9192,M
Danny Vranes,7,8.93,2613,M
Buck Williams,17,15.02,16784,M
Herb Williams,22,11.5,12859,M
Garry Witts,1,9.5,132,M
Al Wood,8,13.22,5356,M
Howard Wood,1,12.0,144,M
Orlando Woolridge,15,15.89,14321,M
Rich Yonakor,1,20.4,33,M
Dwight Anderson,1,10.6,21,M
J.J. Anderson,5,10.32,1231,M
Richard Anderson,8,13.57,2708,M
John Bagley,11,11.33,5802,M
Dave Batton,2,8.4,188,M
Lester Conner,14,13.79,4597,M
Chubby Cox,1,1.6,29,M
Terry Cummings,20,16.46,19927,M
Quintin Dailey,10,13.58,7470,M
Mark Eaton,11,10.75,5216,M
Jerry Eaves,4,5.2,1132,M
Keith Edmonson,4,12.68,932,M
Chris Engler,11,10.08,422,M
Bruce Flowers,1,15.2,261,M
Sleepy Floyd,17,14.31,14027,M
Bill Garnett,4,12.12,1638,M
John Greig,1,19.9,19,M
Scott Hastings,13,8.95,1684,M
Rod Higgins,17,10.92,7109,M
Craig Hodges,14,12.04,7098,M
Marc Iavaroni,11,7.75,3035,M
Jim Johnstone,3,3.93,62,M
Hutch Jones,2,2.3,41,M
Clark Kellogg,5,17.34,4918,M
Joe Kopicki,3,14.6,432,M
Fat Lever,11,16.95,10433,M
Cliff Levingston,11,13.4,5888,M
Steve Lingenfelter,2,2.95,10,M
Dave Magley,1,3.9,12,M
Mark McNamara,10,10.15,1092,M
Guy Morgan,1,9.9,15,M
Ed Nealy,14,9.39,1550,M
Chuck Nevitt,11,10.52,300,M
Audie Norris,3,8.1,819,M
Eddie Phillips,1,7.5,152,M
Ricky Pierce,20,16.8,16724,M
Charles Pittman,4,9.38,1060,M
Paul Pressey,11,14.17,7664,M
Oliver Robinson,1,14.1,101,M
Walker Russell,7,5.34,548,M
Mike Sanders,15,12.03,5748,M
Russ Schoene,6,10.8,1967,M
Ed Sherod,1,11.4,395,M
Jose Slaughter,1,10.5,225,M
Derek Smith,11,13.75,5800,M
Brook Steppe,5,12.38,1297,M
Jeff Taylor,2,9.8,179,M
Vince Taylor,1,7.6,95,M
Terry Teagle,13,11.36,8157,M
David Thirdkill,8,8.04,561,M
Corny Thompson,1,6.0,122,M
LaSalle Thompson,19,10.68,8875,M
Darren Tillis,4,8.35,593,M
Linton Townes,5,10.42,265,M
Trent Tucker,11,12.89,6236,M
Bryan Warrick,6,9.1,904,M
Rory White,8,11.73,2573,M
Dominique Wilkins*,17,21.13,28591,M
Rickey Williams,1,9.6,147,M
Rob Williams,2,12.0,1319,M
James Worthy*,12,17.49,16320,M
Jim Zoet,1,-0.8,2,M
Ken Austin,1,5.6,12,M
Thurl Bailey,14,13.95,12785,M
Randy Breuer,13,12.19,5321,M
Wallace Bryant,5,7.66,364,M
Howard Carter,2,2.3,351,M
Carlos Clark,2,10.5,223,M
Leroy Combs,1,13.5,218,M
Russell Cross,1,15.3,166,M
Darren Daye,7,10.27,2461,M
Clyde Drexler*,17,20.93,23848,M
Craig Ehlo,14,12.92,7492,M
Dale Ellis,21,14.87,20039,M
Rod Foster,3,10.2,1562,M
John Garris,1,18.5,131,M
Mike Gibson,2,8.65,101,M
Stewart Granger,3,5.27,316,M
Sidney Green,12,11.57,5173,M
Bob Hansen,11,8.74,4125,M
Derek Harper,18,15.14,16797,M
Roy Hinson,10,14.17,8384,M
Charles Jones,23,7.93,3311,M
Mark Jones,2,9.55,30,M
Greg Kite,18,4.38,2099,M
Bruce Kuczenski,4,0.33,56,M
Darrell Lockhart,1,1.6,4,M
Sidney Lowe,6,9.57,590,M
Jeff Malone,17,13.94,18679,M
Pace Mannion,8,8.96,668,M
Rodney McCray,10,13.89,9014,M
Scooter McCray,3,7.4,224,M
Larry Micheaux,4,14.9,541,M
Bob Miller,1,25.0,4,M
John Paxson,11,11.65,5560,M
John Pinone,1,7.8,20,M
Tom Piotrowski,1,9.2,30,M
Leo Rautins,2,2.2,48,M
Doc Rivers,15,15.59,9698,M
Fred Roberts,15,12.37,6529,M
Ralph Sampson*,11,12.7,7788,M
Byron Scott,14,15.38,15097,M
Steve Stipanovich,5,15.06,5323,M
Jon Sundvold,9,12.06,3886,M
Dane Suttle,2,14.8,272,M
Jim Thomas,4,7.78,1355,M
Paul Thompson,5,12.8,1827,M
Sedale Threatt,18,14.09,10399,M
Granville Waiters,5,6.56,606,M
Darrell Walker,12,11.56,6469,M
Brant Weidner,1,5.4,8,M
Mark West,21,9.43,7316,M
Ennis Whatley,13,10.88,2185,M
Mitchell Wiggins,6,13.17,3877,M
Kevin Williams,7,9.97,1477,M
Michael Wilson,7,-2.01,215,M
Randy Wittman,11,9.43,4325,M
Chuck Aleksinas,1,9.1,377,M
Ron Anderson,14,13.0,7859,M
Ken Bannister,5,10.2,1501,M
