PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Ray Felix,11,14.95,7316,M
Jim Fritsche,4,0.9,607,M
Jack George,10,11.52,5772,M
Bato Govedarica,1,7.1,75,M
Norm Grekin,1,-23.3,0,M
Rollen Hans,1,11.5,483,M
Bob Houbregs*,6,15.75,2794,M
Billy Kenville,6,13.27,2434,M
Dick Knostman,1,17.4,13,M
Clyde Lovellette*,11,20.72,11947,M
Jim Luisi,1,7.6,89,M
Jack Molinas,1,19.2,370,M
Ken Murray,1,7.9,149,M
Jim Neal,1,9.9,312,M
Paul Nolen,1,-20.3,0,M
Mike Novak,1,-14.6,1,M
Bob Peterson,5,12.22,494,M
James Phelan,1,-4.8,3,M
Connie Rea,1,4.4,23,M
Frank Reddout,1,42.5,13,M
Al Roges,1,10.6,570,M
Dick Schnittker,5,13.54,2735,M
Ed Smith,1,8.5,35,M
Joe Smyth,3,10.67,262,M
Don Sunderlage,2,9.2,874,M
Norm Swanson,1,4.0,100,M
Hal Uplinger,1,10.7,86,M
Isaac Walthour,1,-5.4,2,M
George Yardley*,9,20.37,10272,M
Don Anielak,1,1.8,3,M
Tom Brennan,1,5.6,10,M
Bob Carney,1,8.7,69,M
Fred Christ,1,16.7,20,M
Bert Cook,1,8.5,118,M
Larry Costello,12,13.99,8622,M
George Dempsey,7,13.13,1839,M
Fred Diute,1,-2.3,11,M
Dick Farley,3,12.13,1378,M
Chuck Grigsby,1,9.9,16,M
Herm Hedderick,1,-0.8,4,M
Ed Kalafat,3,11.3,1474,M
Mike Kearns,1,1.0,1,M
Red Kerr,12,16.71,12480,M
Bob Knight,1,11.9,7,M
Ronnie MacGilvray,1,7.9,8,M
Tom Marshall,6,10.23,1104,M
Phil Martin,1,6.6,12,M
Ken McBride,1,7.9,117,M
Carl McNulty,1,-9.7,2,M
Red Morrison,3,9.37,555,M
Boris Nachamkin,1,12.2,20,M
Togo Palazzi,8,14.09,2938,M
Bob Pettit*,11,25.33,20880,M
Frank Ramsey*,9,15.42,8378,M
Dick Rosenthal,2,10.25,575,M
Gene Shue,12,12.27,10327,M
Art Spoelstra,6,10.82,2461,M
Jim Tucker,3,7.67,407,M
Jack Turner,2,9.6,482,M
Skippy Whitaker,1,-8.7,2,M
Jesse Arnelle,1,12.6,147,M
Dick Atha,2,10.15,137,M
Don Bielke,1,12.2,14,M
Ed Conlin,9,12.61,5746,M
Red Davis,1,-3.3,2,M
Corky Devlin,3,11.67,1496,M
Walter Dukes,8,14.05,5765,M
Ron Feiereisel,1,12.2,30,M
Al Ferrari,6,9.0,2525,M
Ed Fleming,5,13.86,2511,M
Dick Garmaker,8,13.89,6446,M
Tom Gola*,12,13.62,8767,M
Chris Harris,3,3.73,202,M
Dick Hemric,2,13.35,863,M
Larry Hennessy,2,8.65,331,M
Johnny Horan,3,1.93,68,M
Jim Loscutoff,9,7.4,3156,M
Chuck Mencel,2,11.3,983,M
Jackie Moore,2,10.9,255,M
Chuck Noble,7,9.0,3276,M
Med Park,7,11.77,2329,M
Richie Regan,3,9.3,1785,M
Dick Ricketts,5,9.54,2582,M
Bob Santini,1,12.7,11,M
Bob Schafer,4,7.12,497,M
Kenny Sears,10,16.67,7808,M
Frank Selvy,12,10.89,5470,M
Jack Stephens,1,13.3,743,M
Maurice Stokes*,3,20.9,3315,M
Jack Twyman*,11,17.38,15840,M
Bob Williams,2,9.5,70,M
Forest Able,1,-41.1,0,M
Bob Armstrong,1,7.8,28,M
John Barber,1,4.2,7,M
Gary Bergen,1,4.7,8,M
Al Bianchi,10,9.43,5550,M
Bob Burrow,2,10.85,459,M
Si Green,10,10.93,4132,M
Richie Guerin*,15,16.87,15725,M
Cliff Hagan*,10,18.83,13447,M
Tom Heinsohn*,9,17.73,12194,M
Joe Holup,5,10.06,1600,M
Bob Hopkins,4,13.85,2237,M
Phil Jordon,11,14.05,6209,M
Hal Lear,1,1.0,4,M
Slick Leonard*,7,9.83,4204,M
Johnny McCarthy,6,7.9,2450,M
Willie Naulls,14,15.28,12929,M
Jim Paxson,15,13.75,12651,M
Dave Piontek,9,10.9,3668,M
Jim Ray,2,-0.85,9,M
Bill Russell*,13,19.01,14522,M
Ron Shavlik,2,-3.75,10,M
Ron Sobie,6,10.73,1724,M
Norm Stewart,1,-1.9,10,M
Bill Thieben,2,8.55,337,M
Lou Tsioropoulos,3,7.43,910,M
Doug Bolstorff,1,2.2,4,M
George Brown,1,-7.2,1,M
Dick Duckett,1,8.0,132,M
Pat Dunn,1,9.4,70,M
Bill Ebben,1,1.1,15,M
Bo Erias,1,8.9,148,M
Larry Friend,1,7.7,175,M
Hot Rod,19,13.67,13409,M
McCoy Ingram,1,7.6,67,M
Sam Jones*,12,18.42,15411,M
Jim Krebs,7,11.47,4128,M
Brendan McCann,3,1.67,74,M
Worthy Patterson,1,11.0,7,M
Jerry Paulson,1,7.9,20,M
Ray Radziszewski,1,-8.9,0,M
Lennie Rosenbluth,2,11.6,342,M
Woody Sauldsberry,8,8.09,5094,M
Guy Sparrow,5,8.64,1503,M
Charlie Tyra,5,11.86,3091,M
Jim Walsh,1,5.0,20,M
Win Wilfong,4,10.4,1826,M
Elgin Baylor*,14,20.99,23149,M
Jerry Bird,1,12.9,25,M
Bucky Bockhorn,7,10.2,5430,M
Pete Brennan,1,7.2,40,M
Barney Cable,12,10.68,3770,M
Archie Dees,3,14.57,1411,M
Connie Dierking,14,11.59,7941,M
Boo Ellis,2,12.3,607,M
Wayne Embry*,11,14.8,10380,M
Mike Farmer,9,8.44,3245,M
Dave Gambee,13,15.02,8211,M
Hal Greer*,15,15.19,21586,M
Steve Hamilton,2,8.9,368,M
Vern Hatton,5,8.8,1297,M
Andy Johnson,4,10.88,2847,M
K.C. Jones*,9,10.5,5011,M
Tommy Kearns,1,8.8,2,M
Shellie McMillon,6,13.02,3035,M
Jim Palmer,5,11.86,2206,M
Jack Parr,1,7.9,262,M
Hub Reed,9,9.23,3292,M
Guy Rodgers*,14,12.84,10818,M
Phil Rollins,8,9.97,1403,M
Larry Staverman,8,12.59,1502,M
Bennie Swain,1,12.3,265,M
Gary Alcorn,2,5.05,261,M
Bob Anderegg,1,9.3,133,M
Dick Barnett,14,13.99,15358,M
Whitey Bell,2,7.55,183,M
Wilt Chamberlain*,16,26.29,33953,M
Bob Ferry,10,13.09,5780,M
Johnny Green,18,16.82,13958,M
Gene Guarilia,4,7.95,413,M
Tom Hawkins,10,10.76,6672,M
Bailey Howell*,12,18.91,17770,M
Maury King,2,12.8,226,M
Rudy LaRusso,10,15.28,11507,M
Nick Mantis,4,5.88,451,M
Cal Ramsey,4,10.7,200,M
John Richter,1,8.1,285,M
Joe Ruklick,3,8.8,398,M
Bobby Smith,2,0.35,37,M
Wayne Stevens,1,6.1,13,M
Tony Windis,1,7.5,36,M
Al Attles,11,11.05,6328,M
Bob Boozer,13,15.58,14172,M
Dave Budd,5,12.52,2505,M
Ralph Davis,2,9.05,1195,M
Swede Halbrook,2,10.25,786,M
Darrall Imhoff,14,10.58,5887,M
Ron Johnson,3,7.03,74,M
Howie Jolliff,3,6.8,388,M
Willie Jones,5,10.42,2016,M
Pickles Kennedy,1,3.8,12,M
Fred LaCour,3,11.03,940,M
George Lee,7,20.07,2229,M
Bob McNeill,4,10.85,713,M
Jackie Moreland,5,12.34,2684,M
Don Ohl,12,12.98,12532,M
Joe Roberts,3,10.1,1118,M
Oscar Robertson*,14,22.81,26710,M
Tom Sanders*,13,10.93,8766,M
Jerry West*,14,22.81,25192,M
Lenny Wilkens*,15,16.37,17772,M
Stacey Arceneaux,1,10.4,50,M
Walt Bellamy*,20,18.8,25205,M
George Blaney,1,7.8,117,M
George Bon,1,0.1,4,M
Joe Buckhalter,2,5.85,375,M
Cleveland Buckner,2,14.85,411,M
Ed Burton,2,10.2,33,M
Donnie Butcher,7,9.9,2259,M
Al Butler,6,12.63,3109,M
Howie Carl,1,9.4,170,M
Jimmy Darrow,1,5.9,12,M
Johnny Egan,17,11.27,7249,M
Rich Eichhorst,1,12.2,2,M
Cleo Hill,1,9.1,320,M
Ron Horn,2,-0.15,77,M
Doug Kistler,1,12.1,8,M
York Larese,3,10.4,604,M
Ted Luckenbill,2,8.0,196,M
Whitey Martin,1,5.4,227,M
Tom Meschery,10,13.08,9904,M
Paul Neumann,8,13.94,5953,M
Bevo Nordmann,8,9.6,1005,M
Chuck Osborne,1,4.7,5,M
Gary Phillips,5,8.02,2319,M
Frank Radovich,1,9.8,87,M
Ray Scott,11,15.48,11356,M
Lee Shaffer,3,13.93,3291,M
Bob Sims,3,8.1,1018,M
Adrian Smith,12,12.05,8940,M
