doc_id,Gender,judgement
1932,0,-0.3190109947741912
2109,0,-0.321206385442356
633,0,-0.3215337619294346
2255,0,-0.3221542337922616
1523,0,-0.32374980486044425
373,0,-0.3244297356273622
2474,0,-0.3245793236863801
2532,0,-0.3247427549469708
1536,0,-0.3247566677941299
2181,0,-0.3247622417911574
1203,0,-0.3250619033680733
1092,0,-0.32545682558921535
421,0,-0.32560078424555694
2465,0,-0.3256545325355894
222,0,-0.32568108430763393
2667,0,-0.32637045651511754
1590,0,-0.3265729301308013
2844,0,-0.3266078191023625
1524,0,-0.32661096192458394
1106,0,-0.32668767258779674
929,0,-0.326693107629311
1728,0,-0.3268427067546687
2445,0,-0.32688602248890286
1789,0,-0.32692500957375026
2430,0,-0.3269527547447246
1175,0,-0.32696488219463665
575,0,-0.32707728890018184
2269,0,-0.32709756567323267
3168,0,-0.32722355660025704
1845,0,-0.32726071623327435
2261,0,-0.3273157248496722
1905,0,-0.327360540951662
2693,0,-0.3274726279848562
1692,0,-0.3274836450783287
491,0,-0.3275091533807243
2431,0,-0.3276470249235464
2588,0,-0.32765026815337744
1621,0,-0.3277268150457367
2280,0,-0.327761001006997
2817,0,-0.3277618105433056
3776,1,-0.3277761731972777
1564,0,-0.3278640092751293
1313,0,-0.32787328721389186
895,0,-0.3279031660273418
1971,0,-0.32792205616234116
3199,0,-0.3280737886823243
2879,0,-0.32810302495151084
1135,0,-0.3281311084947861
1028,0,-0.3281382247164736
1104,0,-0.328150242805447
2032,0,-0.328185926152025
1764,0,-0.32818639708028663
2615,0,-0.3281870265762691
1,0,-0.3282257067225874
2092,0,-0.32823462469013726
1241,0,-0.3282603711670066
3094,0,-0.3282668424974294
1211,0,-0.3282672637569427
2711,0,-0.32831190174604274
1014,0,-0.328315785828447
2357,0,-0.32836280169971516
1473,0,-0.3283710505562733
269,0,-0.32837387162819276
1160,0,-0.32841598188974963
2846,0,-0.32845515699848193
1188,0,-0.328470834432935
1817,0,-0.3284820946700235
540,0,-0.3284828933757384
1923,0,-0.32849180036518744
212,0,-0.3284954839468313
2090,0,-0.3284994317739771
557,0,-0.32853822440208263
1766,0,-0.3285476334952489
3123,0,-0.3286099402068865
3385,0,-0.32863196149438334
1718,0,-0.3286511447578877
198,0,-0.32866718546521345
2087,0,-0.3286693113507799
99,0,-0.3286784893940703
1528,0,-0.32874486376572665
2827,0,-0.3287596000793921
1593,0,-0.3287628868003495
2904,0,-0.32878388454787144
2757,0,-0.32885128976955746
2513,0,-0.32888579735180545
2290,0,-0.3289760798054603
685,0,-0.3290555379639986
1501,0,-0.32906926676845205
2069,0,-0.32909367292894987
1083,0,-0.3291005556580624
329,0,-0.3291099035404329
755,0,-0.32911904333384134
2572,0,-0.3291422484527029
1343,0,-0.32916907730441447
318,0,-0.32918309774468696
2473,0,-0.32920917627043966
2643,0,-0.3293144562048582
583,0,-0.3293243356653468
2801,0,-0.3293466204002905
366,0,-0.3293509533833829
2171,0,-0.32943814832312945
516,0,-0.32944849256017716
1493,0,-0.329449063703133
1949,0,-0.32944990621005565
3283,0,-0.32947608426188707
2455,0,-0.32948386385766576
2363,0,-0.32950614684899215
1474,0,-0.3295180926503638
764,0,-0.32953120167215133
2360,0,-0.32955141423373147
2818,0,-0.3295582076669826
3772,1,-0.32958587120939575
3831,1,-0.3295864593225437
204,0,-0.32961454945231583
1256,0,-0.32961979694877824
1168,0,-0.32962040052123953
98,0,-0.32964719037217804
3807,1,-0.3296655630110237
1860,0,-0.329675978046039
1339,0,-0.3297253448711242
1043,0,-0.3297314983350888
2805,0,-0.32974187253610476
2444,0,-0.3297948667149221
225,0,-0.3297953421152999
3845,1,-0.3297960639990212
1610,0,-0.329853633328688
661,0,-0.32986099811166986
3812,1,-0.32987570227089547
3033,0,-0.32987902434760963
413,0,-0.32988126254149264
116,0,-0.32988857041095465
2860,0,-0.3299034052883135
3782,1,-0.3299059423203423
2249,0,-0.32992665741270744
2278,0,-0.3299505080020099
513,0,-0.3299737545871819
2150,0,-0.3299946555600801
2603,0,-0.33001939591878415
501,0,-0.33002177962132884
3804,1,-0.33002370453502844
3387,0,-0.33003425245432283
1183,0,-0.33005453869584755
1456,0,-0.3300944870184428
3194,0,-0.3301263948424924
1193,0,-0.3301279044568355
1911,0,-0.33013992648892054
466,0,-0.3301409324353708
2035,0,-0.33014501468363805
273,0,-0.33015305843667964
1892,0,-0.330154551361985
1041,0,-0.33015908644194814
3253,0,-0.3301661811620593
1914,0,-0.33017421939274616
1298,0,-0.33021594250388125
2297,0,-0.3302723899548916
794,0,-0.33027301402109166
1047,0,-0.33032196765369826
462,0,-0.3303245926727657
2466,0,-0.3303286189378459
1401,0,-0.33034409135538373
759,0,-0.33034747764044314
2758,0,-0.33034950350899395
1736,0,-0.33035940179273143
2133,0,-0.33039623650918987
3886,1,-0.33042470502459276
1808,0,-0.33045447346017
700,0,-0.3304571688636108
3032,0,-0.3304663046927072
3269,0,-0.33046645970791044
548,0,-0.33048088518839525
2601,0,-0.3304892602805043
3361,0,-0.33049035800045723
2039,0,-0.3305243146311333
597,0,-0.330542538459775
1118,0,-0.3305476898200579
