doc_id,Gender,judgement
633,0,0.032264366039947756
1523,0,0.0160683912019055
2474,0,0.015268208274032573
421,0,0.015192380167116179
373,0,0.013608810569319387
222,0,0.0073941250597881385
1789,0,0.006826250484940861
1536,0,0.005864518235483399
1175,0,0.005797664983256358
1106,0,0.005653767668413291
2181,0,0.004889504644381702
929,0,0.004122426366179394
2667,0,0.004093785853265834
491,0,0.003810262735599137
2532,0,0.0037038842514628316
575,0,0.0036045610552614188
1092,0,0.00244612317191115
1590,0,0.0016255585272304824
2844,0,0.0014284458023612985
1564,0,0.0010276963256910616
2430,0,0.0006244992371654866
2445,0,0.0005493043074000789
1203,0,-0.000215334588182888
1524,0,-0.0005290204070455429
3168,0,-0.0007373786741778727
1,0,-0.0007982565305416547
1845,0,-0.0020265474607387823
1241,0,-0.002094514848547257
2693,0,-0.0023712588064971523
1104,0,-0.00253782784377923
895,0,-0.0026664825322325995
3199,0,-0.0029461299499162616
269,0,-0.0031822170354185953
2280,0,-0.003291636447628586
1764,0,-0.003309833090164276
1313,0,-0.0033899493857363714
1028,0,-0.003395882363489877
1692,0,-0.00371329523157098
583,0,-0.003715258613866499
1188,0,-0.004173544173262052
2846,0,-0.0042328068165539
2261,0,-0.004378810241334104
1160,0,-0.0044572578599955965
366,0,-0.004494510127234898
755,0,-0.004528038721879902
212,0,-0.004528812364623131
2090,0,-0.00458984921857495
1256,0,-0.0047226532025947815
99,0,-0.004826139223080788
2588,0,-0.005125167822175636
1610,0,-0.0056269822533502704
1621,0,-0.0057917718357174824
1528,0,-0.005917281973556657
2817,0,-0.00597416220968891
2513,0,-0.00600143528168641
2904,0,-0.006168237271546448
1211,0,-0.006248160818547575
1817,0,-0.006847658412922349
329,0,-0.006874407340276885
2615,0,-0.0068871873768013405
1718,0,-0.007094846300953546
1728,0,-0.007139291076209791
1971,0,-0.007283381776612618
3123,0,-0.007407306328264466
540,0,-0.007606718054404839
1905,0,-0.007610157771729848
225,0,-0.007613276903316311
198,0,-0.0076661586249909056
2032,0,-0.007851784277718033
2087,0,-0.008011907367747687
764,0,-0.008122961154733564
2711,0,-0.008222234867809446
1135,0,-0.008519138956085333
1083,0,-0.008533610572173542
1014,0,-0.00883669127169922
516,0,-0.009024837905521188
1949,0,-0.009141063731206638
3094,0,-0.009163782689768604
548,0,-0.009222014920822589
501,0,-0.009259752730808916
1766,0,-0.00937883156298974
1168,0,-0.009405048747872315
557,0,-0.009518968877663174
3776,1,-0.009892421620939092
700,0,-0.0099057836467953
204,0,-0.010001072669259394
1473,0,-0.0100063477101504
2069,0,-0.010141859851068045
1892,0,-0.010149233172069415
1456,0,-0.010375094472247319
1501,0,-0.010433050398798216
1923,0,-0.0105333304316194
1339,0,-0.010537740752483982
318,0,-0.010550177760243806
116,0,-0.01074659070084436
3253,0,-0.010818216466103408
2603,0,-0.010839624597796155
1047,0,-0.010856170752342685
1493,0,-0.01104798041882794
2465,0,-0.011078550337123641
413,0,-0.01109225615256661
2473,0,-0.011122376230973051
2269,0,-0.011245806153789967
2363,0,-0.011274481769840805
3361,0,-0.011368617399879804
2444,0,-0.011391103881750965
661,0,-0.011411440254092756
1860,0,-0.011446119951795463
2092,0,-0.011454145799691812
3385,0,-0.011599823571249125
685,0,-0.011600033422075962
2860,0,-0.011960489145000811
2757,0,-0.01196706750936889
2431,0,-0.012192136565610478
3144,0,-0.012291667246793411
1183,0,-0.012430580625274627
2290,0,-0.012434128563426785
1830,0,-0.012434782058735785
892,0,-0.012486346141773852
2879,0,-0.012492276569630863
2643,0,-0.01251929701686065
1593,0,-0.012523786957007867
2039,0,-0.01256572140976018
763,0,-0.012567673945424754
3287,0,-0.01272276172431002
2357,0,-0.01272954601221455
2150,0,-0.012762321447986951
2818,0,-0.0128999311052807
1474,0,-0.012911213987111316
513,0,-0.012988552453917186
1343,0,-0.012992337248396973
1911,0,-0.01299515435962605
597,0,-0.013069612606843861
1887,0,-0.01306974471378498
1041,0,-0.013105633995009676
1736,0,-0.013202615146490463
3194,0,-0.013258754644582895
1246,0,-0.013287018481544833
273,0,-0.013425309398392043
3807,1,-0.013654291011016364
2278,0,-0.013674201280130343
610,0,-0.01371803887295755
1298,0,-0.013838952583047376
1401,0,-0.013885059964231656
1043,0,-0.013900361025429062
2171,0,-0.013909527727773822
466,0,-0.014002780381366493
462,0,-0.014027989905998541
172,0,-0.014088473393413806
236,0,-0.014111930278513275
2801,0,-0.014168487371729873
506,0,-0.01419357998108992
3379,0,-0.01420907173348868
2455,0,-0.014238896575987009
2297,0,-0.014411099844706702
265,0,-0.014423615522886995
759,0,-0.014535854636888529
1207,0,-0.014536079196216712
1193,0,-0.014566003831693774
98,0,-0.014659171780180894
3444,0,-0.014698362368809129
2758,0,-0.01475607605031557
1272,0,-0.01484752525301613
1023,0,-0.014884416207752878
2572,0,-0.014911499103403322
2009,0,-0.014959841828046872
3812,1,-0.014963216284826802
2249,0,-0.014973019766877147
2133,0,-0.014973223134449778
3387,0,-0.015003711665639179
643,0,-0.015028747484181842
1118,0,-0.015044729901448027
3341,0,-0.015067631537333401
1869,0,-0.01509019493514932
1398,0,-0.015332735239298451
2910,0,-0.01533611616598463
3032,0,-0.015417178511763385
3099,0,-0.015417968424453036
790,0,-0.015443491022452013
631,0,-0.015494675665982753
3831,1,-0.015511762585959188
794,0,-0.015538002799618277
2360,0,-0.015558398905393735
2805,0,-0.015570748555568868
2909,0,-0.015643390277812898
1996,0,-0.015675887181631484
1636,0,-0.015773939844205352
3804,1,-0.01583790668251398
2423,0,-0.0158987839621068
553,0,-0.01600397680177229
2471,0,-0.01606320946234842
1968,0,-0.016074787283260568
3181,0,-0.016140871745356215
3163,0,-0.016236730404303283
2677,0,-0.016338585581671866
869,0,-0.01635445391350692
3196,0,-0.016391760428947744
3150,0,-0.01641270835437593
1454,0,-0.016421525800240346
297,0,-0.016468858602583986
3462,0,-0.016618819050246838
3269,0,-0.01669974585224249
1309,0,-0.016753804653358177
1970,0,-0.016785140419168988
1216,0,-0.01680704728982493
3237,0,-0.016836795984481255
773,0,-0.016860586021827273
26,0,-0.016866956857635722
884,0,-0.016907479844260567
720,0,-0.016993247086873692
1540,0,-0.01705261185439094
2775,0,-0.017075307228034013
279,0,-0.017083823630934514
3096,0,-0.01715793060059985
2718,0,-0.017160241287500877
2267,0,-0.017244066029399503
989,0,-0.01724553107044221
2057,0,-0.01733111192331405
3782,1,-0.017375127484101457
146,0,-0.017400097019671087
2721,0,-0.017450573425465594
3785,1,-0.01746934179354039
2794,0,-0.017487009631851905
1105,0,-0.01755699849805776
928,0,-0.01758189394024287
860,0,-0.017600963551592838
3376,0,-0.017686124795549003
2763,0,-0.017686605018776506
3791,1,-0.017702499730772682
3772,1,-0.017702555861651745
317,0,-0.017706459285213257
95,0,-0.017721070624410133
3283,0,-0.017721240613091035
3830,1,-0.01772521336981512
490,0,-0.017791966183095174
1914,0,-0.017814890028795567
1668,0,-0.01788376814831536
1110,0,-0.01788963482184514
578,0,-0.017904118240707086
1123,0,-0.017921321122724848
3302,0,-0.01795193257218481
2933,0,-0.018024030063625636
2200,0,-0.018059449138234346
3293,0,-0.018150058393967952
3383,0,-0.018172250106838685
2503,0,-0.01818488943849249
