q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,175,0,Rollen Hans,1,11.5,483
1,176,0,Bob Houbregs*,6,15.75,2794
1,178,0,Dick Knostman,1,17.4,13
1,179,0,Clyde Lovellette*,11,20.72,11947
1,180,0,Jim Luisi,1,7.6,89
1,182,0,Ken Murray,1,7.9,149
1,183,0,Jim Neal,1,9.9,312
1,184,0,Paul Nolen,1,-20.3,0
1,185,0,Mike Novak,1,-14.6,1
1,186,0,Bob Peterson,5,12.22,494
1,188,0,Connie Rea,1,4.4,23
1,189,0,Frank Reddout,1,42.5,13
1,190,0,Al Roges,1,10.6,570
1,191,0,Dick Schnittker,5,13.54,2735
1,192,0,Ed Smith,1,8.5,35
1,193,0,Joe Smyth,3,10.67,262
1,194,0,Don Sunderlage,2,9.2,874
1,195,0,Norm Swanson,1,4.0,100
1,196,0,Hal Uplinger,1,10.7,86
1,197,0,Isaac Walthour,1,-5.4,2
1,199,0,Don Anielak,1,1.8,3
1,200,0,Tom Brennan,1,5.6,10
1,201,0,Bob Carney,1,8.7,69
1,202,0,Fred Christ,1,16.7,20
1,203,0,Bert Cook,1,8.5,118
1,206,0,Fred Diute,1,-2.3,11
1,207,0,Dick Farley,3,12.13,1378
1,208,0,Chuck Grigsby,1,9.9,16
1,209,0,Herm Hedderick,1,-0.8,4
1,210,0,Ed Kalafat,3,11.3,1474
1,211,0,Mike Kearns,1,1.0,1
1,213,0,Bob Knight,1,11.9,7
1,214,0,Ronnie MacGilvray,1,7.9,8
1,216,0,Phil Martin,1,6.6,12
1,217,0,Ken McBride,1,7.9,117
1,218,0,Carl McNulty,1,-9.7,2
1,219,0,Red Morrison,3,9.37,555
1,220,0,Boris Nachamkin,1,12.2,20
1,221,0,Togo Palazzi,8,14.09,2938
1,223,0,Frank Ramsey*,9,15.42,8378
1,224,0,Dick Rosenthal,2,10.25,575
1,227,0,Jim Tucker,3,7.67,407
1,229,0,Skippy Whitaker,1,-8.7,2
1,230,0,Jesse Arnelle,1,12.6,147
1,233,0,Ed Conlin,9,12.61,5746
1,234,0,Red Davis,1,-3.3,2
1,235,0,Corky Devlin,3,11.67,1496
1,237,0,Ron Feiereisel,1,12.2,30
1,239,0,Ed Fleming,5,13.86,2511
1,240,0,Dick Garmaker,8,13.89,6446
1,241,0,Tom Gola*,12,13.62,8767
1,242,0,Chris Harris,3,3.73,202
1,243,0,Dick Hemric,2,13.35,863
1,245,0,Johnny Horan,3,1.93,68
1,246,0,Jim Loscutoff,9,7.4,3156
1,247,0,Chuck Mencel,2,11.3,983
1,248,0,Jackie Moore,2,10.9,255
1,249,0,Chuck Noble,7,9.0,3276
1,250,0,Med Park,7,11.77,2329
1,251,0,Richie Regan,3,9.3,1785
1,252,0,Dick Ricketts,5,9.54,2582
1,253,0,Bob Santini,1,12.7,11
1,254,0,Bob Schafer,4,7.12,497
1,255,0,Kenny Sears,10,16.67,7808
1,256,0,Frank Selvy,12,10.89,5470
1,258,0,Maurice Stokes*,3,20.9,3315
1,259,0,Jack Twyman*,11,17.38,15840
1,260,0,Bob Williams,2,9.5,70
